Monat,Klima
2004-01,29
2004-02,31
2004-03,29
2004-04,23
2004-05,29
2004-06,29
2004-07,22
2004-08,24
2004-09,29
2004-10,24
2004-11,28
2004-12,24
2005-01,28
2005-02,26
2005-03,22
2005-04,24
2005-05,23
2005-06,23
2005-07,20
2005-08,20
2005-09,25
2005-10,24
2005-11,22
2005-12,20
2006-01,25
2006-02,25
2006-03,23
2006-04,19
2006-05,23
2006-06,22
2006-07,19
2006-08,20
2006-09,22
2006-10,21
2006-11,25
2006-12,18
2007-01,25
2007-02,25
2007-03,25
2007-04,22
2007-05,23
2007-06,23
2007-07,21
2007-08,21
2007-09,25
2007-10,26
2007-11,28
2007-12,24
2008-01,32
2008-02,28
2008-03,24
2008-04,28
2008-05,28
2008-06,29
2008-07,28
2008-08,40
2008-09,35
2008-10,33
2008-11,33
2008-12,30
2009-01,33
2009-02,35
2009-03,34
2009-04,34
2009-05,35
2009-06,34
2009-07,31
2009-08,35
2009-09,45
2009-10,47
2009-11,48
2009-12,52
2010-01,53
2010-02,54
2010-03,44
2010-04,44
2010-05,45
2010-06,44
2010-07,48
2010-08,43
2010-09,52
2010-10,49
2010-11,53
2010-12,50
2011-01,28
2011-02,23
2011-03,20
2011-04,17
2011-05,19
2011-06,18
2011-07,18
2011-08,19
2011-09,20
2011-10,19
2011-11,21
2011-12,18
2012-01,25
2012-02,22
2012-03,19
2012-04,17
2012-05,17
2012-06,18
2012-07,17
2012-08,19
2012-09,20
2012-10,19
2012-11,20
2012-12,18
2013-01,27
2013-02,21
2013-03,19
2013-04,17
2013-05,17
2013-06,18
2013-07,17
2013-08,22
2013-09,24
2013-10,22
2013-11,22
2013-12,19
2014-01,29
2014-02,24
2014-03,18
2014-04,16
2014-05,17
2014-06,19
2014-07,17
2014-08,19
2014-09,26
2014-10,23
2014-11,23
2014-12,20
2015-01,27
2015-02,25
2015-03,21
2015-04,17
2015-05,17
2015-06,20
2015-07,20
2015-08,22
2015-09,24
2015-10,23
2015-11,26
2015-12,23
2016-01,27
2016-02,23
2016-03,19
2016-04,18
2016-05,19
2016-06,20
2016-07,19
2016-08,19
2016-09,21
2016-10,22
2016-11,41
2016-12,44
2017-01,68
2017-02,57
2017-03,55
2017-04,46
2017-05,55
2017-06,59
2017-07,55
2017-08,60
2017-09,59
2017-10,55
2017-11,62
2017-12,47
2018-01,72
2018-02,56
2018-03,40
2018-04,37
2018-05,40
2018-06,40
2018-07,45
2018-08,55
2018-09,51
2018-10,56
2018-11,56
2018-12,54
2019-01,72
2019-02,63
2019-03,63
2019-04,58
2019-05,58
2019-06,86
2019-07,74
2019-08,66
2019-09,100
2019-10,69
2019-11,73
2019-12,62
2020-01,75
2020-02,54
2020-03,41
2020-04,37
2020-05,40
2020-06,42
2020-07,38
2020-08,42
2020-09,41
2020-10,32
2020-11,35
2020-12,31
2021-01,41
2021-02,44
2021-03,38
2021-04,39
2021-05,45
2021-06,53
2021-07,42
2021-08,48
2021-09,62
2021-10,49
2021-11,50
2021-12,42
2022-01,63
2022-02,60
2022-03,58
2022-04,60
2022-05,58
2022-06,60
2022-07,62
2022-08,63
2022-09,62
2022-10,55
2022-11,68
2022-12,62
2023-01,67
2023-02,67
2023-03,69
2023-04,75
2023-05,82
2023-06,71
2023-07,76
2023-08,68
2023-09,69
2023-10,63
2023-11,72
2023-12,62
2024-01,76
2024-02,60
2024-03,57
2024-04,79
2024-05,56
2024-06,55
2024-07,62
2024-08,61
2024-09,62
2024-10,57
2024-11,61
2024-12,50
2025-01,64
2025-02,61
2025-03,53
2025-04,59
2025-05,52
2025-06,64
2025-07,97
