Monat,Schweinebauch
2004-01,14
2004-02,19
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,18
2004-10,0
2004-11,12
2004-12,0
2005-01,16
2005-02,13
2005-03,16
2005-04,16
2005-05,0
2005-06,14
2005-07,13
2005-08,17
2005-09,10
2005-10,8
2005-11,9
2005-12,8
2006-01,14
2006-02,7
2006-03,17
2006-04,13
2006-05,17
2006-06,19
2006-07,19
2006-08,14
2006-09,13
2006-10,9
2006-11,11
2006-12,13
2007-01,11
2007-02,15
2007-03,15
2007-04,17
2007-05,19
2007-06,18
2007-07,17
2007-08,17
2007-09,19
2007-10,15
2007-11,12
2007-12,16
2008-01,17
2008-02,19
2008-03,15
2008-04,17
2008-05,20
2008-06,23
2008-07,20
2008-08,16
2008-09,12
2008-10,16
2008-11,17
2008-12,18
2009-01,19
2009-02,18
2009-03,22
2009-04,22
2009-05,16
2009-06,22
2009-07,22
2009-08,21
2009-09,19
2009-10,18
2009-11,17
2009-12,18
2010-01,23
2010-02,22
2010-03,22
2010-04,24
2010-05,24
2010-06,20
2010-07,21
2010-08,18
2010-09,18
2010-10,19
2010-11,20
2010-12,21
2011-01,27
2011-02,30
2011-03,29
2011-04,33
2011-05,29
2011-06,30
2011-07,28
2011-08,27
2011-09,23
2011-10,29
2011-11,28
2011-12,25
2012-01,30
2012-02,31
2012-03,32
2012-04,32
2012-05,33
2012-06,33
2012-07,32
2012-08,30
2012-09,31
2012-10,27
2012-11,32
2012-12,30
2013-01,34
2013-02,34
2013-03,36
2013-04,36
2013-05,37
2013-06,39
2013-07,40
2013-08,37
2013-09,32
2013-10,32
2013-11,34
2013-12,33
2014-01,36
2014-02,51
2014-03,40
2014-04,41
2014-05,40
2014-06,39
2014-07,36
2014-08,35
2014-09,33
2014-10,38
2014-11,35
2014-12,39
2015-01,39
2015-02,39
2015-03,40
2015-04,45
2015-05,42
2015-06,41
2015-07,40
2015-08,40
2015-09,35
2015-10,41
2015-11,39
2015-12,43
2016-01,50
2016-02,40
2016-03,48
2016-04,40
2016-05,49
2016-06,45
2016-07,42
2016-08,42
2016-09,41
2016-10,41
2016-11,30
2016-12,30
2017-01,28
2017-02,33
2017-03,28
2017-04,29
2017-05,27
2017-06,27
2017-07,26
2017-08,29
2017-09,27
2017-10,31
2017-11,31
2017-12,32
2018-01,30
2018-02,32
2018-03,44
2018-04,44
2018-05,43
2018-06,41
2018-07,36
2018-08,32
2018-09,36
2018-10,39
2018-11,42
2018-12,48
2019-01,52
2019-02,51
2019-03,57
2019-04,41
2019-05,42
2019-06,49
2019-07,50
2019-08,47
2019-09,48
2019-10,53
2019-11,54
2019-12,56
2020-01,54
2020-02,56
2020-03,57
2020-04,84
2020-05,100
2020-06,49
2020-07,65
2020-08,63
2020-09,61
2020-10,65
2020-11,65
2020-12,69
2021-01,82
2021-02,64
2021-03,46
2021-04,46
2021-05,45
2021-06,56
2021-07,64
2021-08,65
2021-09,63
2021-10,68
2021-11,55
2021-12,71
2022-01,75
2022-02,69
2022-03,64
2022-04,72
2022-05,64
2022-06,68
2022-07,74
2022-08,77
2022-09,85
2022-10,76
2022-11,71
2022-12,72
2023-01,73
2023-02,66
2023-03,76
2023-04,73
2023-05,71
2023-06,64
2023-07,71
2023-08,87
2023-09,80
2023-10,70
2023-11,80
2023-12,79
2024-01,72
2024-02,65
2024-03,65
2024-04,64
2024-05,63
2024-06,52
2024-07,59
2024-08,61
2024-09,59
2024-10,68
2024-11,76
2024-12,79
2025-01,75
2025-02,72
2025-03,68
2025-04,65
2025-05,68
2025-06,66
2025-07,59
