"word","absolute.frequency","relative.frequency"
"“",298,0.00934638062978296
"kapitän",268,0.00840546982812696
"silver",196,0.00614728390415255
"doktor",153,0.00479864508844562
"schon",147,0.00461046292811441
"mann",132,0.00414000752728641
"herr",113,0.00354409735290428
"schiff",111,0.00348136996612721
"hand",109,0.00341864257935014
"rief",97,0.00304227825868774
"sah",80,0.00250909547108267
"john",80,0.00250909547108267
"unser",79,0.00247773177769414
"squir",77,0.00241500439091707
"work",77,0.00241500439091707
"immer",76,0.00238364069752854
"gerad",76,0.00238364069752854
"lang",73,0.00228954961736294
"hätte",72,0.00225818592397441
"sagen",71,0.00222682223058587
"you",70,0.00219545853719734
"zeit",69,0.00216409484380881
"zwei",69,0.00216409484380881
"wäre",68,0.00213273115042027
"lag",67,0.00210136745703174
"wort",66,0.00207000376364321
"leut",65,0.00203864007025467
"ging",65,0.00203864007025467
"kam",64,0.00200727637686614
"wenig",64,0.00200727637686614
"augenblick",64,0.00200727637686614
"jim",64,0.00200727637686614
"weiß",63,0.00197591268347761
"sehen",63,0.00197591268347761
"seid",63,0.00197591268347761
"gut",62,0.00194454899008907
"habt",62,0.00194454899008907
"bord",62,0.00194454899008907
"zurück",61,0.00191318529670054
"insel",60,0.00188182160331201
"schien",60,0.00188182160331201
"seit",57,0.00178773052314641
"drei",56,0.00175636682975787
"livesay",56,0.00175636682975787
"stand",56,0.00175636682975787
"haus",56,0.00175636682975787
"alten",56,0.00175636682975787
"gutenberg™",56,0.00175636682975787
"augen",55,0.00172500313636934
"boot",55,0.00172500313636934
"flint",54,0.00169363944298081
"plötzlich",52,0.00163091205620374
"sofort",52,0.00163091205620374
"erwidert",52,0.00163091205620374
"hispaniola",52,0.00163091205620374
"stimm",51,0.00159954836281521
"paar",51,0.00159954836281521
"dabei",50,0.00156818466942667
"bald",50,0.00156818466942667
"ben",50,0.00156818466942667
"fast",49,0.00153682097603814
"fort",48,0.0015054572826496
"wasser",48,0.0015054572826496
"beim",47,0.00147409358926107
"herr“",47,0.00147409358926107
"kopf",47,0.00147409358926107
