"word","absolute.frequency","relative.frequency"
"zarathustra",577,0.014450288004007
"selber",333,0.00833959429000751
"—",282,0.00706235912847483
"sprach",238,0.00596043075381918
"menschen",232,0.00581016779363887
"lieb",215,0.00538442273979464
"gleich",197,0.00493363385925369
"wahrlich",195,0.00488354620586026
"schon",177,0.00443275732531931
"leben",167,0.00418231905835212
"immer",165,0.00413223140495868
"geist",160,0.00400701227147508
"seel",144,0.00360631104432757
"mensch",135,0.0033809166040571
"gott",127,0.00318056599048335
"lang",123,0.00308039068369647
"gross",120,0.00300525920360631
"sei",118,0.00295517155021287
"tugend",117,0.00293012772351615
"macht",116,0.00290508389681943
"ach",115,0.00288004007012271
"gut",113,0.00282995241672928
"wort",111,0.00277986476333584
"wohl",110,0.00275482093663912
"giebt",105,0.00262960180315552
"herz",104,0.0026045579764588
"welt",100,0.00250438266967193
"freund",99,0.00247933884297521
"nämlich",98,0.00245429501627849
"kam",97,0.00242925118958177
"einst",95,0.00237916353618833
"“",93,0.00232907588279489
"erd",91,0.00227898822940145
"erst",89,0.00222890057600801
"ding",89,0.00222890057600801
"heut",84,0.00210368144252442
"guten",83,0.0020786376158277
"volk",81,0.00202854996243426
"reden",80,0.00200350613573754
"alt",80,0.00200350613573754
"sieh",80,0.00200350613573754
"herzen",80,0.00200350613573754
"brüder",80,0.00200350613573754
"kommt",80,0.00200350613573754
"redet",79,0.00197846230904082
"thier",78,0.0019534184823441
"meer",77,0.00192837465564738
"work",77,0.00192837465564738
"augen",76,0.00190333082895066
"grossen",72,0.00180315552216379
"tief",71,0.00177811169546707
"zeit",71,0.00177811169546707
"gute",70,0.00175306786877035
"you",70,0.00175306786877035
"grund",68,0.00170298021537691
"glück",67,0.00167793638868019
"sah",67,0.00167793638868019
"wahrheit",67,0.00167793638868019
"höheren",66,0.00165289256198347
"aug",66,0.00165289256198347
"leib",65,0.00162784873528675
"weisheit",65,0.00162784873528675
"heisst",65,0.00162784873528675
"still",65,0.00162784873528675
"willen",64,0.00160280490859003
"endlich",64,0.00160280490859003
"lachen",63,0.00157776108189331
"weib",63,0.00157776108189331
"liegt",62,0.00155271725519659
"fand",62,0.00155271725519659
"genug",62,0.00155271725519659
"klein",62,0.00155271725519659
"gieng",61,0.00152767342849987
"neue",61,0.00152767342849987
"geht",60,0.00150262960180316
"wenig",60,0.00150262960180316
"böse",60,0.00150262960180316
"höhle",59,0.00147758577510644
"nacht",58,0.00145254194840972
"kleinen",58,0.00145254194840972
"hand",58,0.00145254194840972
"allein",57,0.001427498121713
"alten",56,0.00140245429501628
"müde",56,0.00140245429501628
"antwortet",56,0.00140245429501628
"glauben",56,0.00140245429501628
"einand",56,0.00140245429501628
"seid",56,0.00140245429501628
"gutenberg™",56,0.00140245429501628
"stund",54,0.00135236664162284
"willst",54,0.00135236664162284
"lust",54,0.00135236664162284
"denen",53,0.00132732281492612
"weiss",53,0.00132732281492612
"zurück",52,0.0013022789882294
"lernt",52,0.0013022789882294
"darum",51,0.00127723516153268
