source,target,value
ALBUS,the,12
ALBUS DUMBLEDORE,Nicolas Flamel,12
ALBUS DUMBLEDORE,the,12
Adalbert Waffling,Emeric,12
Adrian Pucey,Angelina,4
Adrian Pucey,Harry,8
Adrian Pucey,Marcus Flint,4
Adrian Pucey,Oliver Wood,8
African prince,Harry Potter,4
African prince,Quirrell,4
African prince,Seamus,3
Alberic Grunnion,Harry,8
Alberic Grunnion,Merlin,4
Albus,Dumbledore,2
Albus,Hagrid,3
Albus,Harry Potter,3
Albus,Vernon,6
Albus,face,3
Albus,the,12
Albus Dumbledore,Hagrid,4
Albus Dumbledore,face,4
Albus Dumbledore,the,48
Algie,Enid,8
Algie,Harry,4
Algie,Harry Potter,4
Algie,Neville,4
Algie,Uncle,4
Algie,magic,4
Alicia Spinnet,the,12
Angelina,Alicia Spinnet,4
Angelina,Bletchley,4
Angelina,Fred Weasley,4
Angelina,Harry,8
Angelina,rose,4
Angelina,the,12
Angelina Johnson,The,3
Anne,Harry,4
Anne,Harry Potter,4
Anne,Nott,4
Apothecary,Hagrid,8
Apothecary,Harry,15
Apothecary,Harry Potter,4
Apothecary,the,8
Argus Filch,Harry,8
Argus Filch,Nick,4
Arsenius Jigger,The,12
Bane,Firenze,13
Bane,Hagrid,7
Bane,Snape,4
Bane,Voldemort,12
Bane,the,124
Baruffio,Seamus,4
Baruffio,magic,8
Bathilda Bagshot,Miranda,12
Bertie,Cliodna,4
Bertie,Dumbledore,8
Bertie Bott,Harry,12
Bertie Bott,bean,3
Bertie Bott,magic,12
Bill,Harry,13
Bill,Harry Potter,1
Bill,Percy,20
Bill,Ron,4
Bill,the,4
Black,Harry,12
Black,the,6
Blaise,Percy Weasley,12
Bletchley,Adrian Pucey,3
Bletchley,Angelina,3
Bletchley,the,4
Bloody,Peeves,7
Bloody Baron,Harry,8
Bloody Baron,Harry Potter,12
Bloody Baron,Peeves,8
Bloody Baron,Ron,4
Bloody Baron,the,28
Ceremony,Ron,4
Ceremony,The,6
Ceremony,the,12
Charlie,Bill,36
Charlie,Harry,72
Charlie,Harry Potter,8
Charlie,Malfoy,16
Charlie,McGonagall,11
Charlie,Ron,38
Charlie,The,16
Charlie,Thomas,4
Charlie,brothers,4
Charlie,fallen,4
Charlie,the,27
Circe,the,12
Cliodna,Hengist,8
Cliodna,the,4
Cornelius Fudge,Dumbledore,7
Cornelius Fudge,the,3
Crabbe,Draco Malfoy,12
Crabbe,George,8
Crabbe,Goyle,93
Crabbe,Gregory,4
Crabbe,Hagrid,4
Crabbe,Harry,3
Crabbe,Hermione,20
Crabbe,Hermione Granger,8
Crabbe,Malfoy,9
Crabbe,Ron,3
Crabbe,The,8
Crabbe,black,8
Crabbe,broom,7
Crabbe,forest,4
Crabbe,hall,12
Crabbe,the,28
DUDLEY,Dudley,2
DUDLEY,the,8
DUMBLEDORE,Hagrid,3
DUMBLEDORE,Harry,4
DUMBLEDORE,Uncle,4
Day,Dumbledore,9
Dean,Dean Thomas,4
Dean,Hagrid,4
Dean,Harry,4
Dean,Ron,16
Dean,Seamus,24
Dean,ball,4
Dean,the,32
Dean Thomas,Ron,4
Dean Thomas,the,8
Dedalus Diggle,Dumbledore,3
Dedalus Diggle,Harry,15
Dedalus Diggle,Harry Potter,4
Dennis,Harry,12
Don,Fluffy,8
Don,Hagrid,28
Don,Harry,6
Don,Quirrell,8
Don,Ron,4
Don,black,4
Don,the,24
Doris,Harry,6
Doris,Quirrell,3
Doris Crockford,Hagrid,16
Doris Crockford,Mr. Potter,8
Draco,Harry Potter,4
Draco,Neville,8
Draco Malfoy,Dumbledore,4
Draco Malfoy,Goyle,16
Draco Malfoy,Harry,4
Draco Malfoy,Harry Potter,8
Draco Malfoy,Ron,8
Draco Malfoy,the,52
Dudley,Dennis,12
Dudley,Finch,8
Dudley,Hagrid,12
Dudley,Harry,116
Dudley,Howard,3
Dudley,Justin,3
Dudley,Petunia,40
Dudley,Piers,28
Dudley,Piers Polkiss,4
Dudley,Ron,8
Dudley,Smeltings,3
Dudley,THE,8
Dudley,The,110
Dudley,Uncle,256
Dudley,Vernon,9
Dudley,able,22
Dudley,angry,28
Dudley,bill,4
Dudley,black,4
Dudley,broom,3
Dudley,day,40
Dudley,face,51
Dudley,gorilla,4
Dudley,ice,8
Dudley,lady,20
Dudley,the,330
Dudley,uncle,20
Dudley,violet,20
Dudley,zoo,4
Dumbledore,Albus,15
Dumbledore,Albus Dumbledore,12
Dumbledore,Bane,12
Dumbledore,Cliodna,8
Dumbledore,Cornelius Fudge,4
Dumbledore,Firenze,4
Dumbledore,Fluffy,4
Dumbledore,Greek,12
Dumbledore,Gringotts,8
Dumbledore,Griphook,3
Dumbledore,Hagrid,123
Dumbledore,Harry,33
Dumbledore,Harry Potter,7
Dumbledore,Hedwig,20
Dumbledore,Hengist,4
Dumbledore,Hermione,3
Dumbledore,Hope,3
Dumbledore,James,16
Dumbledore,Lily,8
Dumbledore,Magic,24
Dumbledore,McGonagall,38
Dumbledore,NICHOLAS,3
Dumbledore,Neville,6
Dumbledore,Nicolas,12
Dumbledore,Nicolas Flamel,12
Dumbledore,Percy,16
Dumbledore,Quirrell,32
Dumbledore,Ron,60
Dumbledore,Severus Snape,4
Dumbledore,Sirius Black,8
Dumbledore,Snape,46
Dumbledore,The,35
Dumbledore,Voldemort,40
Dumbledore,black,4
Dumbledore,day,68
Dumbledore,don,8
Dumbledore,face,9
Dumbledore,forbidden,4
Dumbledore,hall,8
Dumbledore,magic,3
Dumbledore,rose,8
Dumbledore,stunned,8
Dumbledore,the,678
Dumbledore,uncle,4
Elfric the Eager,Lee Jordan,4
Elfric the Eager,the,8
Emeric,Phyllida,12
Emeric the Evil,Flitwick,8
Emeric the Evil,fallen,4
Enid,Uncle,12
FORBIDDEN,FOREST,12
FOREST,Hermione,3
FOREST,THE,6
Fang,Hagrid,44
Fang,Harry,16
Fang,Harry Potter,12
Fang,Hermione,4
Fang,Malfoy,80
Fang,black,8
Fang,the,12
Finch,Harry,8
Finch,Justin,3
Firenze,Bane,72
Firenze,Dumbledore,8
Firenze,Hagrid,12
Firenze,Harry,7
Firenze,Mr. Potter,8
Firenze,Ron,4
Firenze,The,3
Firenze,forest,16
Firenze,the,65
Flitwick,Dumbledore,20
Flitwick,Harry,9
Flitwick,Hermione,18
Flitwick,Malfoy,9
Flitwick,McGonagall,12
Flitwick,Ron,3
Flitwick,Snape,3
Flitwick,The,3
Flitwick,brothers,8
Flitwick,day,4
Flitwick,fallen,4
Flitwick,forest,3
Flitwick,hall,12
Flitwick,magic,3
Flitwick,the,82
Fluffy,Dumbledore,20
Fluffy,Flitwick,8
Fluffy,Gringotts,4
Fluffy,Hagrid,101
Fluffy,Harry,12
Fluffy,Hermione,28
Fluffy,Peeves,4
Fluffy,Quirrell,8
Fluffy,Ron,4
Fluffy,Snape,8
Fluffy,THE,8
Fluffy,Voldemort,4
Fluffy,face,8
Fluffy,the,48
Forest,Black,6
Fred,Charlie,8
Fred,Dumbledore,4
Fred,George,28
Fred,George Weasley,48
Fred,Harry,124
Fred,Harry Potter,37
Fred,Malfoy,6
Fred,Neville,4
Fred,Percy,4
Fred,Percy Weasley,8
Fred,Quirrell,8
Fred,Ron,4
Fred,Snape,12
Fred,The,8
Fred,day,4
Fred,the,13
Fred,zoo,8
Fred Weasley,Adrian Pucey,3
Fred Weasley,Dumbledore,6
Fred Weasley,George,7
Fred Weasley,Harry,11
Fred Weasley,Ron,8
Fred Weasley,The,3
Fred Weasley,the,3
Friar,Harry,4
Friar,Peeves,12
Friar,The,8
Friar,the,20
GRINGOTTS,day,4
GRINGOTTS,the,8
George,Crabbe,4
George,Dumbledore,4
George,Fred,20
George,Goyle,12
George,Harry,10
George,Harry Potter,11
George,Miss Granger,1
George,Oliver,8
George,Percy Weasley,3
George,Ron,3
George,bean,3
George,broom,3
George,brothers,13
George,day,8
George,hall,8
George,the,125
George Weasley,Harry,12
George Weasley,Harry Potter,20
George Weasley,Katie Bell,4
George Weasley,Lee Jordan,4
George Weasley,McGonagall,4
George Weasley,Ron,4
George Weasley,Snape,8
George Weasley,The,4
George Weasley,broom,12
Ginny,Harry,3
Ginny,Percy,8
Ginny,Ron,8
Ginny,The,3
Ginny,the,27
Godric,Dumbledore,8
Godric,Lily,4
Gordon,The,4
Gordon,day,4
Gordon,hope,4
Goshawk,Bathilda Bagshot,12
Goyle,Bertie Bott,3
Goyle,Crabbe,48
Goyle,Fred,4
Goyle,Harry,8
Goyle,The,8
Goyle,day,4
Goyle,the,165
Greek,the,12
Gregory,Goyle,4
Gregory,the,8
Gringotts,Charlie,20
Gringotts,Dumbledore,3
Gringotts,Fluffy,3
Gringotts,Griphook,7
Gringotts,Hagrid,6
Gringotts,Harry,80
Gringotts,Hermione,6
Gringotts,Malfoy,3
Gringotts,Malkin,7
Gringotts,Quirrell,4
Gringotts,The,40
Gringotts,day,3
Gringotts,miles,4
Gringotts,newspaper,3
Gringotts,scarlet,6
Gringotts,tall,3
Gringotts,the,37
Griphook,Dumbledore,4
Griphook,Gringotts,4
Griphook,Hagrid,28
Griphook,Harry,28
Griphook,Harry Potter,8
Griphook,The,20
Griphook,the,20
HARRY POTTER,McGonagall,6
HARRY POTTER,ball,3
Hagrid,ALBUS,12
Hagrid,Bane,10
Hagrid,Charlie,3
Hagrid,Cornelius Fudge,8
Hagrid,Don,9
