sentence,entities
"This man’s name was 
Albus Dumbledore. 

",['Dumbledore']
"Albus Dumbledore didn’t seem to realize that he had 
just arrived in a street where everything from his 
name to his boots was unwelcome.",['Dumbledore']
"Dumbledore slipped the Put- 
Outer back inside his cloak and set off down the 
street toward number four, where he sat down on the 
wall next to the cat.",['Dumbledore']
"“Fancy seeing you here, Professor McGonagall.” 



",['McGonagall']
"“You’d be stiff if you’d been sitting on a brick wall all 
day,” said Professor McGonagall. 

",['McGonagall']
"Professor McGonagall sniffed angrily. 

",['McGonagall']
"“You can’t blame them,” said Dumbledore gently. 
",['Dumbledore']
"“I know that,” said Professor McGonagall irritably. 

",['McGonagall']
"She threw a sharp, sideways glance at Dumbledore 
here, as though hoping he was going to tell her 
something, but he didn’t, so she went on.",['Dumbledore']
"I suppose he really has gone, 
Dumbledore?” 

“It certainly seems so,” said Dumbledore.",['Dumbledore']
"“No, thank you,” said Professor McGonagall coldly, as 
though she didn’t think this was the moment for 
lemon drops.",['McGonagall']
"Professor McGonagall flinched, but 
Dumbledore, who was unsticking two lemon drops, 
seemed not to notice.","['McGonagall', 'Dumbledore']"
"“I know you haven’t,” said Professor McGonagall, 
sounding half exasperated, half admiring.",['McGonagall']
"Page | 12 Harry Potter and the Philosophers Stone - J.K. Rowling 




“You flatter me,” said Dumbledore calmly.",['Dumbledore']
"Professor McGonagall shot a sharp look at 
Dumbledore and said, “The owls are nothing next to 
the rumors that are flying around.","['McGonagall', 'Dumbledore']"
"About what finally stopped him?” 

It seemed that Professor McGonagall had reached the 
point she was most anxious to discuss, the real 
reason she had been waiting on a cold, hard wall all 
day, for neither as a cat nor as a woman had she 
fixed Dumbledore with such a piercing stare as she 
did now.","['McGonagall', 'Dumbledore']"
"It was plain that whatever “everyone” was 
saying, she was not going to believe it until 
Dumbledore told her it was true.",['Dumbledore']
"Dumbledore, 
however, was choosing another lemon drop and did 
not answer. 

",['Dumbledore']
Dumbledore bowed his head.,['Dumbledore']
"Professor McGonagall 
gasped. 

",['McGonagall']
"Oh, Albus ...” 

Dumbledore reached out and patted her on the 
shoulder.",['Dumbledore']
"Page | 13 Harry Potter and the Philosophers Stone - J.K. Rowling 




Professor McGonagall’s voice trembled as she went 
on.",['McGonagall']
"Dumbledore nodded glumly. 

",['Dumbledore']
“It’s — it’s true?” faltered Professor McGonagall.,['McGonagall']
"“We can only guess,” said Dumbledore.",['Dumbledore']
"Professor McGonagall pulled out a lace handkerchief 
and dabbed at her eyes beneath her spectacles. 
",['McGonagall']
"Dumbledore gave a great sniff as he took a golden 
watch from his pocket and examined it.",['Dumbledore']
"It 
must have made sense to Dumbledore, though, 
because he put it back in his pocket and said, 
“Hagrid’s late.","['Hagrid', 'Dumbledore']"
"“Yes,” said Professor McGonagall.",['McGonagall']
"“You don’t mean — you can’t mean the people who 
live here?” cried Professor McGonagall, jumping to her 

Page | 14",['McGonagall']
"“Dumbledore — you 
can’t.",['Dumbledore']
"“It’s the best place for him,” said Dumbledore firmly. 
",['Dumbledore']
"“A letter?” repeated Professor McGonagall faintly, 
sitting back down on the wall.",['McGonagall']
"“Really, Dumbledore, 
you think you can explain all this in a letter?",['Dumbledore']
"“Exactly,” said Dumbledore, looking very seriously 
over the top of his half-moon glasses.",['Dumbledore']
"Professor McGonagall opened her mouth, changed her 
mind, swallowed, and then said, “Yes — yes, you’re 
right, of course.",['McGonagall']
"But how is the boy getting here, 
Dumbledore?”",['Dumbledore']
"“Hagrid’s bringing him.” 

",['Hagrid']
"“You think it — wise — to trust Hagrid with 
something as important as this?” 



",['Hagrid']
"Page | 15 Harry Potter and the Philosophers Stone - J.K. Rowling 




“I would trust Hagrid with my life,” said Dumbledore. 

","['Hagrid', 'Dumbledore']"
"“I’m not saying his heart isn’t in the right place,” said 
Professor McGonagall grudgingly, “but you can’t 
pretend he’s not careless.",['McGonagall']
"“Hagrid,” said Dumbledore, sounding relieved.","['Hagrid', 'Dumbledore']"
"“Borrowed it, Professor Dumbledore, sir,” said the 
giant, climbing carefully off the motorcycle as he 
spoke.",['Dumbledore']
"Page | 16 Harry Potter and the Philosophers Stone - J.K. Rowling 




Dumbledore and Professor McGonagall bent forward 
over the bundle of blankets.","['McGonagall', 'Dumbledore']"
"“Is that where — ?” whispered Professor McGonagall. 

",['McGonagall']
"“Yes,” said Dumbledore.",['Dumbledore']
"“Couldn’t you do something about it, Dumbledore?” 

",['Dumbledore']
"Well — give him 
here, Hagrid — we’d better get this over with.” 

",['Hagrid']
"Dumbledore took Harry in his arms and turned 
toward the Dursleys’ house. 

",['Dumbledore']
"“Could I — could I say good-bye to him, sir?” asked 
Hagrid.",['Hagrid']
"Then, suddenly, Hagrid let out a howl 
like a wounded dog. 

",['Hagrid']
"“Shhh!” hissed Professor McGonagall, “you’ll wake the 
Muggles!” 

",['McGonagall']
"“S-s-sorry,” sobbed Hagrid, taking out a large, spotted 
handkerchief and burying his face in it.",['Hagrid']
"“But I c-c- 
can’t stand it — Lily an’ James dead — an’ poor little 
Harry off ter live with Muggles — ” 

“Yes, yes, it’s all very sad, but get a grip on yourself, 
Hagrid, or we’ll be found,” Professor McGonagall 
whispered, patting Hagrid gingerly on the arm as 
Dumbledore stepped over the low garden wall and 
walked to the front door.","['Hagrid', 'McGonagall', 'Dumbledore']"
"For a full minute the three of them stood 
and looked at the little bundle; Hagrid’s shoulders 
shook, Professor McGonagall blinked furiously, and 
the twinkling light that usually shone from 
Dumbledore’s eyes seemed to have gone out. 

","['Hagrid', 'McGonagall', 'Dumbledore']"
"“Well,” said Dumbledore finally, “that’s that.",['Dumbledore']
"“Yeah,” said Hagrid in a very muffled voice, “I’d best 
get this bike away.",['Hagrid']
"G ’night, Professor McGonagall — 
Professor Dumbledore, sir.” 

","['McGonagall', 'Dumbledore']"
"Wiping his streaming eyes on his jacket sleeve, Hagrid 
swung himself onto the motorcycle and kicked the 
engine into life; with a roar it rose into the air and off 
into the night. 

",['Hagrid']
"“I shall see you soon, I expect, Professor McGonagall,” 
said Dumbledore, nodding to her.","['McGonagall', 'Dumbledore']"
"Professor 
McGonagall blew her nose in reply. 

",['McGonagall']
"Dumbledore turned and walked back down the street. 
",['Dumbledore']
"Rubeus Hagrid, 
Keeper of Keys and Grounds at Hogwarts.” 

",['Hagrid']
"“Call me Hagrid,” he said, “everyone does.",['Hagrid']
"Hagrid looked shocked. 

",['Hagrid']
"“Sorry?” barked Hagrid, turning to stare at the 
Dursleys, who shrank back into the shadows.",['Hagrid']
Hagrid thundered.,['Hagrid']
"But Hagrid simply waved his hand and said, “About 
our world, I mean.",['Hagrid']
"“What world?” 

Hagrid looked as if he was about to explode. 
",['Hagrid']
"Hagrid 
stared wildly at Harry. 



",['Hagrid']
"Hagrid ran his 
fingers through his hair, fixing Harry with a 
bewildered stare. 

",['Hagrid']
"A braver man than Vernon Dursley would have 
quailed under the furious look Hagrid now gave him; 
when Hagrid spoke, his every syllable trembled with 
rage. 

",['Hagrid']
"Never told him what was in the 
letter Dumbledore left fer him?",['Dumbledore']
"I saw 
Dumbledore leave it, Dursley!",['Dumbledore']
"“Ah, go boil yer heads, both of yeh,” said Hagrid. 
",['Hagrid']
"“A wizard, o’ course,” said Hagrid, sitting back down 
on the sofa, which groaned and sank even lower, “an’ 
a thumpin’ good’un, I’d say, once yeh’ve been trained 
up a bit.",['Hagrid']
"He 
pulled out the letter and read: 

HOGWARTS SCHOOL 
o/WITCHCRAFT and WIZARDRY 

Headmaster: ALBUS DUMBLEDORE 

(Order of Merlin, First Class, Grand Sore., Chf. 

",['DUMBLEDORE']
"Dear Mr. Potter, 

We are pleased to inform you that you have been 
accepted at Hogwarts School of Witchcraft and 
Wizardry.",['Mr. Potter']
"Yours sincerely, 

Minerva McGonagall, 

Deputy Headmistress 



Page | 57 Harry Potter and the Philosophers Stone - J.K. Rowling 




Questions exploded inside Harry’s head like fireworks 
and he couldn’t decide which to ask first.",['McGonagall']
"After a few 
minutes he stammered, “What does it mean, they 
await my owl?” 

“Gallopin’ Gorgons, that reminds me,” said Hagrid, 
clapping a hand to his forehead with enough force to 
knock over a cart horse, and from yet another pocket 
inside his overcoat he pulled an owl — a real, live, 
rather ruffled-looking owl — a long quill, and a roll of 
parchment.",['Hagrid']
"Dear Professor Dumbledore, 

Given Harry his letter. 

",['Dumbledore']
"Hagrid 

Hagrid rolled up the note, gave it to the owl, which 
clamped it in its beak, went to the door, and threw 
the owl out into the storm.",['Hagrid']
