source,target,value
ARAGOG,Hagrid,8
Adrian,George,4
Adrian,Harry,8
Adrian Pucey,Harry,12
Albus,Colin,12
Albus,Dumbledore,10
Albus,Hagrid,3
Albus,Harry,2
Albus,Harry Potter,3
Albus,McGonagall,12
Albus,Ron,4
Albus,face,3
Albus,hope,8
Albus Dumbledore,Dobby,3
Albus Dumbledore,Dumbledore,8
Alicia,Angelina,4
Alicia,Katie,3
Alicia,Malfoy,12
Alicia,face,2
Alicia Spinnet,Fred,10
Alicia Spinnet,George Weasley,8
Alicia Spinnet,Harry,3
Alicia Spinnet,Oliver,12
Ancient,Dean Thomas,6
Ancient,Hermione,9
Ancient,day,12
Angelina,George,8
Angelina,Harry Potter,4
Angelina,Katie,5
Angelina,Snape,1
Angelina Johnson,Fred,3
Angelina Johnson,Harry,6
Angus,Hetty,3
Angus,Ron,6
Aragog,Hagrid,22
Aragog,Harry,62
Aragog,McGonagall,3
Aragog,Myrtle,6
Aragog,Ron,55
Aragog,ancient,8
Aragog,black,4
Argus,Dumbledore,16
Argus,Lockhart,4
Argus,Mr. Weasley,8
Argus,Ron,2
Argus,able,9
Argus Filch,Harry,9
Argus Filch,Harry Potter,4
Argus Filch,Lockhart,8
Argus Filch,Malfoy,12
Argus Filch,McGonagall,3
Argus Filch,Nick,6
Armando Dippet,Forest,3
Armando Dippet,Hagrid,7
Armenian warlock,Bandon Banshee,3
Arthur,Dobby,3
Arthur,Draco,4
Arthur,Dudley,6
Arthur,Fred,14
Arthur,Hagrid,3
Arthur,Harry,8
Arthur,Harry Potter,13
Arthur,Hermione,3
Arthur,Lucius,3
Arthur,Lucius Malfoy,3
Arthur,Molly,15
Arthur,Mr. Weasley,16
Arthur,Ron,3
Arthur,hall,3
Arthur Weasley,Borgin,9
Arthur Weasley,Harry,8
Arthur Weasley,Lucius,3
Arthur Weasley,Lucius Malfoy,3
Arthur Weasley,MAGIC,6
Arthur Weasley,Malfoy,8
Arthur Weasley,face,6
Bandon Banshee,Gilderoy Lockhart,8
Bandon Banshee,Harry,8
Bandon Banshee,Lockhart,4
Bill,Charlie,8
Bill,Fred,4
Bill,Gringotts,3
Bill,Harry,30
Bill,Percy,6
Bill,Ron,8
Bloody Baron,Myrtle,3
Bloody Baron,gloomy nuns,8
Borgin,Harry,31
Borgin,Harry Potter,10
Borgin,Lord,4
Borgin,Malfoy,48
Borgin,Ron,8
Borgin,black,4
Borgin,day,24
Borgin,face,28
CORNELIUS FUDGE,Hagrid,9
Catchpole,Fred,6
Celestina,Harry,7
Ceremony,Harry Potter,4
Ceremony,Ron,8
Charlie,Bill,19
Charlie,Fred,6
Charlie,Harry,6
Charlie,Harry Potter,4
Colin,Albus,4
Colin,Dumbledore,12
Colin,Flitwick,8
Colin,Fred,4
Colin,George Weasley,4
Colin,Goyle,12
Colin,Harry,145
Colin,Hedwig,3
Colin,Hermione,41
Colin,Justin,4
Colin,Lockhart,16
Colin,Malfoy,20
Colin,McGonagall,12
Colin,Nick,4
Colin,Ron,14
Colin,face,10
Colin,magic,4
Colin Creevey,Colin,4
Colin Creevey,Fred,3
Colin Creevey,George,12
Colin Creevey,Harry,27
Colin Creevey,Harry Potter,4
Colin Creevey,Hermione,8
Colin Creevey,Lockhart,4
Colin Creevey,Ron,8
Colin Creevey,day,8
Colin Creevey,face,20
Cornelius,Albus,4
Cornelius,Hagrid,11
Cornelius,Harry,3
Cornelius Fudge,Dumbledore,8
Cornelius Fudge,Ron,16
Crabbe,Colin,12
Crabbe,Dumbledore,12
Crabbe,George,3
Crabbe,Goyle,81
Crabbe,Harry,12
Crabbe,Harry Potter,2
Crabbe,Hermione,15
Crabbe,Malfoy,66
Crabbe,McGonagall,8
Crabbe,Millicent Bulstrode,3
Crabbe,Myrtle,9
Crabbe,Ron,37
Crabbe,face,3
Crabbe,hall,2
DOBBY,Harry,12
DOBBY,Lockhart,12
DUDLEY,Harry,4
DUDLEY,Uncle,4
DUDLEY,uncle,3
DUMBLEDORE,Harry,6
DUMBLEDORE,Ron,3
Day,Harry,8
Day,Lockhart,4
Day,Snape,4
Day,handsome,8
Dean,Harry,9
Dean,Hermione,4
Dean,Lockhart,19
Dean,Magic,8
Dean,Malfoy,4
Dean,Mr. Weasley,4
Dean,Ron,3
Dean,Seamus,6
Dean,Seamus Finnigan,11
Dean,Snape,6
Dean,fallen,12
Dean Thomas,Dean,4
Dean Thomas,Dumbledore,12
Dean Thomas,Harry,12
Dean Thomas,Lavender Brown,8
Dean Thomas,Lockhart,8
Dean Thomas,Magic,4
Dean Thomas,Seamus,3
Dean Thomas,Seamus Finnigan,16
Dean Thomas,evil,4
Dobby,Albus Dumbledore,12
Dobby,Dudley,8
Dobby,Dumbledore,4
Dobby,Hagrid,10
Dobby,Harry,462
Dobby,Harry Potter,136
Dobby,Hedwig,4
Dobby,Hermione,32
Dobby,Lord,8
Dobby,Lucius,4
Dobby,Lucius Malfoy,31
Dobby,Malfoy,12
Dobby,Petunia,9
Dobby,Ron,60
Dobby,Vernon,4
Dobby,Voldemort,8
Dobby,angry,20
Dobby,day,12
Dobby,face,96
Dobby,forbidden,8
Dobby,hall,12
Dobby,magic,4
Dobby,mark,12
Don,Hagrid,12
Draco,Arthur Weasley,8
Draco,Borgin,17
Draco,Dobby,12
Draco,Draco Malfoy,4
Draco,Ginny,10
Draco,Harry,10
Draco,Harry Potter,16
Draco,Hermione,3
Draco,Lockhart,4
Draco,Lucius Malfoy,3
Draco,Malfoy,12
Draco,Mr. Weasley,16
Draco,Snape,4
Draco,angry,8
Draco,broom,3
Draco,face,6
Draco,hope,9
Draco Malfoy,Colin,3
Draco Malfoy,Crabbe,16
Draco Malfoy,Dumbledore,4
Draco Malfoy,Fred,7
