start_sent,sentences,entities
1,"K . R O W L ! N G 

HARRY 

POTTER 




/ 




",['HARRY']
2,"R O W L ! N G 

HARRY 

POTTER 




/ 




 THE WORST BIRTHDAY 

Not for the first time, an argument had broken out 
over breakfast at number four, Privet Drive.","['THE', 'HARRY', 'the']"
3,"N G 

HARRY 

POTTER 




/ 




 THE WORST BIRTHDAY 

Not for the first time, an argument had broken out 
over breakfast at number four, Privet Drive. Mr. 
Vernon Dursley had been woken in the early hours of 
the morning by a loud, hooting noise from his nephew 
Harry’s room. 

","['Vernon Dursley', 'THE', 'HARRY', 'the', 'Harry']"
4,"THE WORST BIRTHDAY 

Not for the first time, an argument had broken out 
over breakfast at number four, Privet Drive. Mr. 
Vernon Dursley had been woken in the early hours of 
the morning by a loud, hooting noise from his nephew 
Harry’s room. 

 “Third time this week!”","['Harry', 'Vernon Dursley', 'THE', 'the']"
5,"Mr. 
Vernon Dursley had been woken in the early hours of 
the morning by a loud, hooting noise from his nephew 
Harry’s room. 

 “Third time this week!” he roared across the table.","['Harry', 'Vernon Dursley', 'the']"
6,"“Third time this week!” he roared across the table. “If 
you can’t control that owl, it’ll have to go!” 

",['the']
7,"he roared across the table. “If 
you can’t control that owl, it’ll have to go!” 

 Harry tried, yet again, to explain. 

","['Harry', 'the']"
8,"“If 
you can’t control that owl, it’ll have to go!” 

 Harry tried, yet again, to explain. 

 “She’s bored,” he said.",['Harry']
9,"Harry tried, yet again, to explain. 

 “She’s bored,” he said. “She’s used to flying around 
outside.",['Harry']
10,"“She’s bored,” he said. “She’s used to flying around 
outside. If I could just let her out at night — ” 

“Do I look stupid?” snarled Uncle Vernon, a bit of 
fried egg dangling from his bushy mustache.","['Vernon', 'Uncle']"
11,"“She’s used to flying around 
outside. If I could just let her out at night — ” 

“Do I look stupid?” snarled Uncle Vernon, a bit of 
fried egg dangling from his bushy mustache. “I know 
what 11 happen if that owl’s let out.” 

","['Vernon', 'Uncle']"
12,"If I could just let her out at night — ” 

“Do I look stupid?” snarled Uncle Vernon, a bit of 
fried egg dangling from his bushy mustache. “I know 
what 11 happen if that owl’s let out.” 

 He exchanged dark looks with his wife, Petunia. 

","['Vernon', 'Uncle', 'Petunia']"
13,"“I know 
what 11 happen if that owl’s let out.” 

 He exchanged dark looks with his wife, Petunia. 

 Harry tried to argue back but his words were drowned 
by a long, loud belch from the Dursleys’ son, Dudley. 

","['Harry', 'Dudley', 'Petunia', 'the']"
14,"He exchanged dark looks with his wife, Petunia. 

 Harry tried to argue back but his words were drowned 
by a long, loud belch from the Dursleys’ son, Dudley. 

 Page | 2 Harry Potter and the Chamber of Secrets - J.K. Rowling 



“I want more bacon.” 



","['the', 'Harry Potter', 'Dudley', 'Harry', 'Petunia']"
