sentence,entities
"He missed the castle, with its 
secret passageways and ghosts, his classes (though 
perhaps not Snape, the Potions master), the mail 
arriving by owl, eating banquets in the Great Hall, 
sleeping in his four-poster bed in the tower dormitory, 
visiting the gamekeeper, Hagrid, in his cabin next to 
the Forbidden Forest in the grounds, and, especially, 
Quidditch, the most popular sport in the wizarding 
world (six tall goal posts, four flying balls, and 
fourteen players on broomsticks). 



","['Snape', 'Hagrid']"
"More than 
anything else at Hogwarts, more even than playing 
Quidditch, Harry missed his best friends, Ron 
Weasley and Hermione Granger.",['Ron']
"Neither of them had 
written to him all summer, even though Ron had said 
he was going to ask Harry to come and stay. 

",['Ron']
"Countless times, Harry had been on the point of 
unlocking Hedwig’s cage by magic and sending her to 
Ron and Hermione with a letter, but it wasn’t worth 
the risk.",['Ron']
"But the long silence from Ron and 
Hermione had made Harry feel so cut off from the 
magical world that even taunting Dudley had lost its 
appeal — and now Ron and Hermione had forgotten 
his birthday. 

",['Ron']
"He’d almost be 

Page | 9 Harry Potter and the Chamber of Secrets - J.K. Rowling 




glad of a sight of his archenemy, Draco Malfoy, just to 
be sure it hadn’t all been a dream.",['Malfoy']
"My friend Ron — ” 

He stopped again.",['Ron']
"Thinking about Ron was painful, 
too. 

",['Ron']
"“I mean, there’s Dumbledore, 
for one thing — you know who Dumbledore is, don’t 
you?” 

",['Dumbledore']
"“Albus Dumbledore is the greatest headmaster 
Hogwarts has ever had.",['Dumbledore']
"Dobby 
has heard Dumbledore’s powers rival those of He- 
Who-Must-Not-Be-Named at the height of his 
strength.",['Dumbledore']
"But, sir” — Dobby’s voice dropped to an 
urgent whisper — “there are powers Dumbledore 
doesn’t ... powers no decent wizard ...” 

",['Dumbledore']
"Harry could make out Hermione’s neat 

Page | 21 Harry Potter and the Chamber of Secrets - J.K. Rowling 




writing, Ron’s untidy scrawl, and even a scribble that 
looked as though it was from the Hogwarts 
gamekeeper, Hagrid. 

","['Hagrid', 'Ron']"
"Dear Mr. Potter, 

We have received intelligence that a Hover Charm was 
used at your place of residence this evening at twelve 
minutes past nine. 

",['Mr. Potter']
"Ron Weasley was outside Harry’s window. 



",['Ron']
"“Ron, how did you — What the — ?” 

Harry’s mouth fell open as the full impact of what he 
was seeing hit him.",['Ron']
"Ron was leaning out of the back 
window of an old turquoise car, which was parked in 
midair.",['Ron']
"Grinning at Harry from the front seats were 
Fred and George, Ron’s elder twin brothers. 

",['Ron']
“What’s been going on?” said Ron.,['Ron']
"“He works for the Ministry,” said Ron.",['Ron']
"“Oh, this doesn’t count,” said Ron.",['Ron']
"I’ve done 
in three days, so — ” 

“Stop gibbering,” said Ron.",['Ron']
"“But you can’t magic me out either — ” 

“We don’t need to,” said Ron, jerking his head toward 
the front seat and grinning.",['Ron']
"Panting, Ron hoisted them up into the car. 
",['Ron']
"When the bars were safely in the back seat with Ron, 
Fred reversed as close as possible to Harry’s window. 

",['Ron']
"“Get in,” Ron said. 

",['Ron']
"“So — we’ll get your trunk — you grab anything you 
need from your room and hand it out to Ron,” 
whispered George. 

",['Ron']
"Page | 30 Harry Potter and the Chamber of Secrets - J.K. Rowling 




Harry dashed around his room, collecting his things 
and passing them out of the window to Ron.",['Ron']
"Fred climbed back into the car to pull with 
Ron, and Harry and George pushed from the bedroom 
side.",['Ron']
"Harry tore back across the room as the landing light 
clicked on — he snatched up Hedwig’s cage, dashed 
to the window, and passed it out to Ron.",['Ron']
"Ron, Fred, and George seized Harry’s arms and pulled 
as hard as they could. 

",['Ron']
"yelled Ron, and the car 
shot suddenly toward the moon. 

",['Ron']
"“Let Hedwig out,” he told Ron.",['Ron']
"George handed the hairpin to Ron and, a moment 
later, Hedwig soared joyfully out of the window to 
glide alongside them like a ghost. 

",['Ron']
"“So — what’s the story, Harry?” said Ron impatiently. 
",['Ron']
"“Yes,” said Harry and Ron together, instantly. 

",['Ron']
"“Draco Malfoy,” Harry explained.",['Malfoy']
"“Draco Malfoy?” said George, turning around.",['Malfoy']
"“Not 
Lucius Malfoy’s son?” 

“Must be, it’s not a very common name, is it?” said 
Harry.",['Malfoy']
"“And when You-Know-Who disappeared,” said Fred, 
craning around to look at Harry, “Lucius Malfoy came 
back saying he’d never meant any of it.",['Malfoy']
"Harry had heard these rumors about Malfoy’s family 
before, and they didn’t surprise him at all.",['Malfoy']
"Malfoy 
made Dudley Dursley look like a kind, thoughtful, 
and sensitive boy. 

",['Malfoy']
"Judging by the fact that Draco 
Malfoy usually had the best of everything, his family 
was rolling in wizard gold; he could just see Malfoy 
strutting around a large manor house.",['Malfoy']
"Sending the 
family servant to stop Harry from going back to 
Hogwarts also sounded exactly like the sort of thing 
Malfoy would do.",['Malfoy']
"“I’m glad we came to get you, anyway,” said Ron.",['Ron']
"“But Percy wouldn’t lend him to me,” said Ron.",['Ron']
"“Er, no,” said Ron, “he had to work tonight.",['Ron']
"“He works in the most boring department,” said Ron. 
",['Ron']
"They had landed next to a 
tumbledown garage in a small yard, and Harry looked 
out for the first time at Ron’s house. 

",['Ron']
"“It’s not much,” said Ron. 

“It’s wonderful,” said Harry happily, thinking of Privet 
Drive. 

",['Ron']
"Then, Ron, you 
come bounding downstairs going, ‘Mum, look who 
turned up in the night!’",['Ron']
"“Right,” said Ron.",['Ron']
"“Come on, Harry, I sleep at the — 
at the top — ” 

Ron had gone a nasty greenish color, his eyes fixed on 
the house.",['Ron']
"She turned and walked back into the house and 
Harry, after a nervous glance at Ron, who nodded 
encouragingly, followed her. 

",['Ron']
"Harry Potter and the Chamber of Secrets - J.K. Rowling 




were saying we’d come and get you ourselves if you 
hadn’t written back to Ron by Friday.",['Ron']
"“Ginny,” said Ron in an undertone to Harry.","['Ginny', 'Ron']"
"“And you two,” she said, glaring at Ron and Fred. 

",['Ron']
"“You didn’t ask them to fly that wretched car — ” 

But Harry, who felt wide awake, said quickly, “I’ll help 
Ron.",['Ron']
"“Now, let’s see what Lockhart’s got 
to say on the subject — ” 

",['Lockhart']
"Written across it in fancy gold letters were the words 
Gilderoy Lockhart’s Guide to Household Pests.",['Lockhart']
"As always in the wizarding world, the 
photograph was moving; the wizard, who Harry 
supposed was Gilderoy Lockhart, kept winking 
cheekily up at them all.",['Lockhart']
"“All right, if you think you know 
better than Lockhart, you can go and get on with it, 
and woe betide you if there’s a single gnome in that 
garden when I come out to inspect it.” 

",['Lockhart']
"“Muggles have garden gnomes, too, you know,” Harry 
told Ron as they crossed the lawn. 

",['Ron']
"“Yeah, I’ve seen those things they think are gnomes,” 
said Ron, bent double with his head in a peony bush, 
“like fat little Santa Clauses with fishing rods. ...” 

",['Ron']
"There was a violent scuffling noise, the peony bush 
shuddered, and Ron straightened up.",['Ron']
"Ron held it at arm’s length as it 
kicked out at him with its horny little feet; he grasped 
it around the ankles and turned it upside down. 

",['Ron']
"Seeing the 
shocked look on Harry’s face, Ron added, “It doesn’t 



",['Ron']
"“They’ll be back,” said Ron as they watched the 
gnomes disappear into the hedge on the other side of 
the field.",['Ron']
"Mr. Weasley was slumped in a kitchen chair with his 
glasses off and his eyes closed.",['Mr. Weasley']
"...” 

Mr. Weasley took a long gulp of tea and sighed. 

",['Mr. Weasley']
"“All I got were a few shrinking door keys and a biting 
kettle,” yawned Mr. Weasley.",['Mr. Weasley']
"“Just Muggle-baiting,” sighed Mr. Weasley.",['Mr. Weasley']
Mr. Weasley’s eyes jerked open.,['Mr. Weasley']
"Mr. Weasley blinked. 

",['Mr. Weasley']
“Harry?” said Mr. Weasley blankly.,['Mr. Weasley']
"Very pleased to meet 
you, Ron’s told us so much about — ” 

“ Your sons flew that car to Harry’s house and back 
last nighti” shouted Mrs. Weasley.",['Ron']
"Harry Potter and the Chamber of Secrets - J.K. Rowling 




“Did you really?” said Mr. Weasley eagerly.",['Mr. Weasley']
"...” 

“Let’s leave them to it,” Ron muttered to Harry as 
Mrs. Weasley swelled like a bullfrog.",['Ron']
"“Ginny,” said Ron.","['Ginny', 'Ron']"
"It was like walking into a 
furnace: Nearly everything in Ron’s room seemed to 
be a violent shade of orange: the bedspread, the walls, 
even the ceiling.",['Ron']
"Then Harry realized that Ron had 
covered nearly every inch of the shabby wallpaper 
with posters of the same seven witches and wizards, 
all wearing bright orange robes, carrying broomsticks, 
and waving energetically. 

",['Ron']
"“The Chudley Cannons,” said Ron, pointing at the 
orange bedspread, which was emblazoned with two 
giant black C’s and a speeding cannonball.",['Ron']
"Page | 46 Harry Potter and the Chamber of Secrets - J.K. Rowling 




Ron’s school spellbooks were stacked untidily in a 
corner, next to a pile of comics that all seemed to 
feature The Adventures of Martin Miggs, the Mad 
Muggle.",['Ron']
"Ron’s magic wand was lying on top of a fish 
tank full of frog spawn on the windowsill, next to his 
fat gray rat, Scabbers, who was snoozing in a patch of 
sun. 

",['Ron']
"Then he turned to look at Ron, who was 
watching him almost nervously, as though waiting for 
his opinion. 

",['Ron']
"“It’s a bit small,” said Ron quickly.",['Ron']
"Ron’s ears went pink. 



",['Ron']
"What 
Harry found most unusual about life at Ron’s, 
however, wasn’t the talking mirror or the clanking 
ghoul: It was the fact that everybody there seemed to 
like him. 

",['Ron']
"Mr. Weasley liked Harry to sit next to him at the 
dinner table so that he could bombard him with 
questions about life with Muggles, asking him to 
explain how things like plugs and the postal service 
worked. 

",['Mr. Weasley']
"He and 
Ron went down to breakfast to find Mr. and Mrs. 
Weasley and Ginny already sitting at the kitchen 
table.","['Ginny', 'Ron']"
"The moment she saw Harry, Ginny accidentally 
knocked her porridge bowl to the floor with a loud 
clatter.",['Ginny']
"Ginny seemed very prone to knocking things 
over whenever Harry entered a room.",['Ginny']
"“Letters from school,” said Mr. Weasley, passing 
Harry and Ron identical envelopes of yellowish 
parchment, addressed in green ink.","['Ron', 'Mr. Weasley']"
"“Dumbledore 
already knows you’re here, Harry — doesn’t miss a 
trick, that man.",['Dumbledore']
"The Standard Book of Spells, Grade 2 by Miranda 
Goshawk 

Break with a Banshee by Gilderoy Lockhart 

Gadding with Ghouls by Gilderoy Lockhart 

Page | 49 Harry Potter and the Chamber of Secrets - J.K. Rowling 





Holidays with Hags by Gilderoy Lockhart 

Travels with Trolls by Gilderoy Lockhart 

Voyages with Vampires by Gilderoy Lockhart 

Wanderings with Werewolves by Gilderoy Lockhart 

Year with the Yeti by Gilderoy Lockhart 

Fred, who had finished his own list, peered over at 
Harry’s. 

",['Lockhart']
"“You’ve been told to get all Lockhart’s books, too!”",['Lockhart']
"“Lockhart’s books are really 
expensive. ...” 

",['Lockhart']
"“I expect we’ll be able to pick up a lot 
of Ginny’s things secondhand.” 

",['Ginny']
"Harry 
asked Ginny. 

",['Ginny']
"Fortunately no 
one saw this except Harry, because just then Ron’s 
elder brother Percy walked in.",['Ron']
"“Errol!” said Ron, taking the limp owl from Percy and 
extracting a letter from under its wing.",['Ron']
"He carried Errol to a perch just inside the back door 
and tried to stand him on it, but Errol flopped 
straight off again so Ron laid him on the draining 
board instead, muttering, “Pathetic.”",['Ron']
"Then he ripped 
open Hermione’s letter and read it out loud: 

“ ‘Dear Ron, and Harry if you’re there, 

“ ‘I hope everything went all right and that Harry is 
okay",['Ron']
"and that you didn’t do anything illegal to get him 
out, Ron, because that would get Harry into trouble, 
too.",['Ron']
"I’ve been really worried and if Harry is all right, 
will you please let me know at once, but perhaps it 
would be better if you used a different owl, because I 
think another delivery might finish your one off 

“ ‘I’m very busy with schoolwork, of course’ — How can 
she be?” said Ron in horror.",['Ron']
"Harry Potter and the Chamber of Secrets - J.K. Rowling 




Harry, Ron, Fred, and George were planning to go up 
the hill to a small paddock the Weasleys owned.",['Ron']
"They took turns riding 
Harry’s Nimbus Two Thousand, which was easily the 
best broom; Ron’s old Shooting Star was often 
outstripped by passing butterflies. 

",['Ron']
"“Five 
sets of Lockhart books!",['Lockhart']
"And Ginny needs robes and a 
wand and everything. ...” 

",['Ginny']
"“He’s never traveled by Floo powder,” said Ron 
suddenly.",['Ron']
“Never?” said Mr. Weasley.,['Mr. Weasley']
"“I went on the Underground — ” 

“Really?” said Mr. Weasley eagerly.",['Mr. Weasley']
"“Well, there are an awful lot of wizard fires to choose 
from, you know, but as long as you’ve spoken clearly 



“He’ll be fine, Molly, don’t fuss,” said Mr. Weasley, 
helping himself to Floo powder, too. 

",['Mr. Weasley']
"And keep your elbows tucked in,” Ron advised. 

",['Ron']
"“The soot — 



“Don’t fidget,” said Ron.",['Ron']
