source,target,value
Albus,Dumbledore,3
Albus,Harry,3
Albus,the,16
Albus Dumbledore,Cornelius Fudge,4
Albus Dumbledore,Harry,10
Albus Dumbledore,Voldemort,8
Albus Dumbledore,the,12
Alicia,Angelina,15
Alicia,Cho,3
Alicia,Fred,3
Alicia,George,9
Alicia,Hermione,9
Alicia,Katie,9
Alicia,Malfoy,15
Alicia,Oliver,3
Alicia,Oliver Wood,3
Alicia,The,6
Alicia,broom,3
Alicia,the,46
Alicia Spinnet,Montague,4
Alicia Spinnet,the,20
Ancient,Harry,7
Ancient,Hermione,5
Ancient,The,8
Angelina,Alicia Spinnet,4
Angelina,Cedric Diggory,6
Angelina,Fred,8
Angelina,George,4
Angelina,George Weasley,4
Angelina,Harry,4
Angelina,Hermione,8
Angelina,Katie,3
Angelina,Malfoy,8
Angelina,Montague,4
Angelina,broom,16
Angelina,tall,4
Angelina,the,60
Angelina Johnson,Alicia Spinnet,8
Angelina Johnson,Angelina,12
Angelina Johnson,George,12
Angelina Johnson,Oliver,4
Apothecary,Harry,4
Apothecary,Harry Potter,4
Apothecary,the,4
Arthur,Albus Dumbledore,4
Arthur,Harry,8
Arthur,Ron,4
Arthur,Sirius Black,4
Arthur,the,32
Arthur Weasley,Mr. Weasley,8
Arthur Weasley,black,4
BLACK,Harry,4
BLACK,Magic,4
BLACK,Neville,4
BROOM,Cho,7
BROOM,The,3
Bathilda,Magic,7
Bathilda,the,4
Bilius,Harry Potter,8
Bilius,uncle,4
Bill,George,4
Bill,Ginny,8
Bill,Harry,24
Bill,Mr. Weasley,4
Bill,black,4
Bill,the,4
Binky,Hermione,9
Binky,Lavender,9
Binky,The,4
Binky,the,20
Black,Buckbeak,3
Black,Cornelius,1
Black,Crookshanks,164
Black,Flitwick,4
Black,George,3
Black,HALL,8
Black,HARRY,8
Black,Hagrid,20
Black,Harry,388
Black,Harry Potter,14
Black,Hermione,46
Black,James,20
Black,James Potter,16
Black,LILY,6
Black,Lupin,117
Black,Magic,8
Black,Malfoy,5
Black,McGonagall,51
Black,Merlin,7
Black,Minerva,3
Black,Mr. Weasley,21
Black,Neville,20
Black,Percy,4
Black,Peter,88
Black,Remus,19
Black,Ron,40
Black,Rosmerta,14
Black,SNAPE,4
Black,Severus,15
Black,Sirius,38
Black,Sirius Black,91
Black,Snape,19
Black,The,123
Black,Uncle,4
