start_sent,sentences,entities
0,"/ 




OWL POST 

Harry Potter was a highly unusual boy in many ways. 
 For one thing, he hated the summer holidays more 
than any other time of year. For another, he really 
wanted to do his homework but was forced to do it in 
secret, in the dead of night.","['Harry Potter', 'the']"
1,"For one thing, he hated the summer holidays more 
than any other time of year. For another, he really 
wanted to do his homework but was forced to do it in 
secret, in the dead of night. And he also happened to 
be a wizard. 

",['the']
2,"For another, he really 
wanted to do his homework but was forced to do it in 
secret, in the dead of night. And he also happened to 
be a wizard. 

 It was nearly midnight, and he was lying on his 
stomach in bed, the blankets drawn right over his 
head like a tent, a flashlight in one hand and a large 
leather-bound book (A History of Magic by Bathilda 
Bagshot) propped open against the pillow.","['Bathilda', 'Magic', 'the']"
3,"And he also happened to 
be a wizard. 

 It was nearly midnight, and he was lying on his 
stomach in bed, the blankets drawn right over his 
head like a tent, a flashlight in one hand and a large 
leather-bound book (A History of Magic by Bathilda 
Bagshot) propped open against the pillow. Harry 
moved the tip of his eagle-feather quill down the page, 
frowning as he looked for something that would help 
him write his essay, “Witch Burning in the Fourteenth 
Century Was Completely Pointless — discuss.” 

","['Bathilda', 'Magic', 'Harry', 'the']"
4,"It was nearly midnight, and he was lying on his 
stomach in bed, the blankets drawn right over his 
head like a tent, a flashlight in one hand and a large 
leather-bound book (A History of Magic by Bathilda 
Bagshot) propped open against the pillow. Harry 
moved the tip of his eagle-feather quill down the page, 
frowning as he looked for something that would help 
him write his essay, “Witch Burning in the Fourteenth 
Century Was Completely Pointless — discuss.” 

 The quill paused at the top of a likely-looking 
paragraph.","['Bathilda', 'the', 'The', 'Harry', 'Magic']"
5,"Harry 
moved the tip of his eagle-feather quill down the page, 
frowning as he looked for something that would help 
him write his essay, “Witch Burning in the Fourteenth 
Century Was Completely Pointless — discuss.” 

 The quill paused at the top of a likely-looking 
paragraph. Harry pushed his round glasses up the 
bridge of his nose, moved his flashlight closer to the 
book, and read: 



","['The', 'Harry', 'the']"
6,"The quill paused at the top of a likely-looking 
paragraph. Harry pushed his round glasses up the 
bridge of his nose, moved his flashlight closer to the 
book, and read: 



 Page | 2","['The', 'Harry', 'the']"
7,"Harry pushed his round glasses up the 
bridge of his nose, moved his flashlight closer to the 
book, and read: 



 Page | 2 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 



Non-magic people (more commonly known as 
Muggles) were particularly afraid of magic in medieval 
times, but not very good at recognizing it.","['magic', 'Harry', 'Harry Potter', 'the']"
8,"Page | 2 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 



Non-magic people (more commonly known as 
Muggles) were particularly afraid of magic in medieval 
times, but not very good at recognizing it. On the rare 
occasion that they did catch a real witch or wizard, 
burning had no effect whatsoever.","['magic', 'Harry Potter', 'the']"
9,"Harry Potter and the Prisoner of Azkaban - J.K. Rowling 



Non-magic people (more commonly known as 
Muggles) were particularly afraid of magic in medieval 
times, but not very good at recognizing it. On the rare 
occasion that they did catch a real witch or wizard, 
burning had no effect whatsoever. The witch or wizard 
would perform a basic Flame Freezing Charm and 
then pretend to shriek with pain while enjoying a 
gentle, tickling sensation.","['The', 'magic', 'Harry Potter', 'the']"
10,"On the rare 
occasion that they did catch a real witch or wizard, 
burning had no effect whatsoever. The witch or wizard 
would perform a basic Flame Freezing Charm and 
then pretend to shriek with pain while enjoying a 
gentle, tickling sensation. Indeed, Wendelin the Weird 
enjoyed being burned so much that she allowed 
herself to be caught no less than forty-seven times in 
various disguises. 

","['The', 'Wendelin the Weird', 'the']"
11,"The witch or wizard 
would perform a basic Flame Freezing Charm and 
then pretend to shriek with pain while enjoying a 
gentle, tickling sensation. Indeed, Wendelin the Weird 
enjoyed being burned so much that she allowed 
herself to be caught no less than forty-seven times in 
various disguises. 

 Harry put his quill between his teeth and reached 
underneath his pillow for his ink bottle and a roll of 
parchment.","['The', 'Harry', 'Wendelin the Weird']"
12,"Indeed, Wendelin the Weird 
enjoyed being burned so much that she allowed 
herself to be caught no less than forty-seven times in 
various disguises. 

 Harry put his quill between his teeth and reached 
underneath his pillow for his ink bottle and a roll of 
parchment. Slowly and very carefully he unscrewed 
the ink bottle, dipped his quill into it, and began to 
write, pausing every now and then to listen, because 
if any of the Dursleys heard the scratching of his quill 
on their way to the bathroom, he’d probably find 
himself locked in the cupboard under the stairs for 
the rest of the summer. 

","['Harry', 'Wendelin the Weird', 'the']"
13,"Harry put his quill between his teeth and reached 
underneath his pillow for his ink bottle and a roll of 
parchment. Slowly and very carefully he unscrewed 
the ink bottle, dipped his quill into it, and began to 
write, pausing every now and then to listen, because 
if any of the Dursleys heard the scratching of his quill 
on their way to the bathroom, he’d probably find 
himself locked in the cupboard under the stairs for 
the rest of the summer. 

 The Dursley family of number four, Privet Drive, was 
the reason that Harry never enjoyed his summer 
holidays.","['The', 'Harry', 'the']"
14,"Slowly and very carefully he unscrewed 
the ink bottle, dipped his quill into it, and began to 
write, pausing every now and then to listen, because 
if any of the Dursleys heard the scratching of his quill 
on their way to the bathroom, he’d probably find 
himself locked in the cupboard under the stairs for 
the rest of the summer. 

 The Dursley family of number four, Privet Drive, was 
the reason that Harry never enjoyed his summer 
holidays. Uncle Vernon, Aunt Petunia, and their son, 
Dudley, were Harry’s only living relatives.","['Vernon', 'the', 'Dudley', 'Uncle', 'The', 'Harry', 'Petunia']"
15,"The Dursley family of number four, Privet Drive, was 
the reason that Harry never enjoyed his summer 
holidays. Uncle Vernon, Aunt Petunia, and their son, 
Dudley, were Harry’s only living relatives. They were 
Muggles, and they had a very medieval attitude 
toward magic.","['Vernon', 'magic', 'the', 'Dudley', 'Uncle', 'The', 'Harry', 'Petunia']"
16,"Uncle Vernon, Aunt Petunia, and their son, 
Dudley, were Harry’s only living relatives. They were 
Muggles, and they had a very medieval attitude 
toward magic. Harry’s dead parents, who had been a 
witch and wizard themselves, were never mentioned 
under the Dursleys’ roof.","['Vernon', 'magic', 'the', 'Harry', 'Dudley', 'Uncle', 'Petunia']"
17,"They were 
Muggles, and they had a very medieval attitude 
toward magic. Harry’s dead parents, who had been a 
witch and wizard themselves, were never mentioned 
under the Dursleys’ roof. For years, Aunt Petunia and 
Uncle Vernon had hoped that if they kept Harry as 
downtrodden as possible, they would be able to 
squash the magic out of him.","['Vernon', 'magic', 'the', 'Harry', 'able', 'Uncle', 'Petunia']"
18,"Harry’s dead parents, who had been a 
witch and wizard themselves, were never mentioned 
under the Dursleys’ roof. For years, Aunt Petunia and 
Uncle Vernon had hoped that if they kept Harry as 
downtrodden as possible, they would be able to 
squash the magic out of him. To their fury, they had 
been unsuccessful.","['Vernon', 'magic', 'the', 'Uncle', 'able', 'Harry', 'Petunia']"
19,"For years, Aunt Petunia and 
Uncle Vernon had hoped that if they kept Harry as 
downtrodden as possible, they would be able to 
squash the magic out of him. To their fury, they had 
been unsuccessful. These days they lived in terror of 
anyone finding out that Harry had spent most of the 
last two years at Hogwarts School of Witchcraft and 
Wizardry.","['Vernon', 'magic', 'the', 'Harry', 'able', 'Uncle', 'Petunia']"
20,"To their fury, they had 
been unsuccessful. These days they lived in terror of 
anyone finding out that Harry had spent most of the 
last two years at Hogwarts School of Witchcraft and 
Wizardry. The most they could do, however, was to 
lock away Harry’s spellbooks, wand, cauldron, and 



Page | 3 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




broomstick at the start of the summer break, and 
forbid him to talk to the neighbors. 

","['The', 'Harry', 'Harry Potter', 'the']"
21,"These days they lived in terror of 
anyone finding out that Harry had spent most of the 
last two years at Hogwarts School of Witchcraft and 
Wizardry. The most they could do, however, was to 
lock away Harry’s spellbooks, wand, cauldron, and 



Page | 3 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




broomstick at the start of the summer break, and 
forbid him to talk to the neighbors. 

 This separation from his spellbooks had been a real 
problem for Harry, because his teachers at Hogwarts 
had given him a lot of holiday work.","['The', 'Harry', 'Harry Potter', 'the']"
22,"The most they could do, however, was to 
lock away Harry’s spellbooks, wand, cauldron, and 



Page | 3 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




broomstick at the start of the summer break, and 
forbid him to talk to the neighbors. 

 This separation from his spellbooks had been a real 
problem for Harry, because his teachers at Hogwarts 
had given him a lot of holiday work. One of the 
essays, a particularly nasty one about shrinking 
potions, was for Harry’s least favorite teacher, 
Professor Snape, who would be delighted to have an 
excuse to give Harry detention for a month.","['the', 'Harry Potter', 'Snape', 'The', 'Harry']"
23,"This separation from his spellbooks had been a real 
problem for Harry, because his teachers at Hogwarts 
had given him a lot of holiday work. One of the 
essays, a particularly nasty one about shrinking 
potions, was for Harry’s least favorite teacher, 
Professor Snape, who would be delighted to have an 
excuse to give Harry detention for a month. Harry had 
therefore seized his chance in the first week of the 
holidays.","['Harry', 'Snape', 'the']"
24,"One of the 
essays, a particularly nasty one about shrinking 
potions, was for Harry’s least favorite teacher, 
Professor Snape, who would be delighted to have an 
excuse to give Harry detention for a month. Harry had 
therefore seized his chance in the first week of the 
holidays. While Uncle Vernon, Aunt Petunia, and 
Dudley had gone out into the front garden to admire 
Uncle Vernon’s new company car (in very loud voices, 
so that the rest of the street would notice it too), 

Harry had crept downstairs, picked the lock on the 
cupboard under the stairs, grabbed some of his 
books, and hidden them in his bedroom.","['Vernon', 'the', 'Snape', 'Dudley', 'Uncle', 'Harry', 'Petunia']"
25,"Harry had 
therefore seized his chance in the first week of the 
holidays. While Uncle Vernon, Aunt Petunia, and 
Dudley had gone out into the front garden to admire 
Uncle Vernon’s new company car (in very loud voices, 
so that the rest of the street would notice it too), 

Harry had crept downstairs, picked the lock on the 
cupboard under the stairs, grabbed some of his 
books, and hidden them in his bedroom. As long as 
he didn’t leave spots of ink on the sheets, the 
Dursleys need never know that he was studying 
magic by night. 

","['Vernon', 'magic', 'the', 'Dudley', 'Uncle', 'Harry', 'Petunia']"
26,"While Uncle Vernon, Aunt Petunia, and 
Dudley had gone out into the front garden to admire 
Uncle Vernon’s new company car (in very loud voices, 
so that the rest of the street would notice it too), 

Harry had crept downstairs, picked the lock on the 
cupboard under the stairs, grabbed some of his 
books, and hidden them in his bedroom. As long as 
he didn’t leave spots of ink on the sheets, the 
Dursleys need never know that he was studying 
magic by night. 

 Harry was particularly keen to avoid trouble with his 
aunt and uncle at the moment, as they were already 
in an especially bad mood with him, all because he’d 
received a telephone call from a fellow wizard one 
week into the school vacation. 

","['Vernon', 'magic', 'the', 'Harry', 'Dudley', 'uncle', 'Uncle', 'Petunia']"
27,"As long as 
he didn’t leave spots of ink on the sheets, the 
Dursleys need never know that he was studying 
magic by night. 

 Harry was particularly keen to avoid trouble with his 
aunt and uncle at the moment, as they were already 
in an especially bad mood with him, all because he’d 
received a telephone call from a fellow wizard one 
week into the school vacation. 

 Ron Weasley, who was one of Harry’s best friends at 
Hogwarts, came from a whole family of wizards.","['magic', 'the', 'uncle', 'Harry', 'Ron']"
