sentence,entities
"One of the 
essays, a particularly nasty one about shrinking 
potions, was for Harry’s least favorite teacher, 
Professor Snape, who would be delighted to have an 
excuse to give Harry detention for a month.",['Snape']
"Ron Weasley, who was one of Harry’s best friends at 
Hogwarts, came from a whole family of wizards.",['Ron']
"Harry, who happened to be in the room at the time, 
froze as he heard Ron’s voice answer. 



",['Ron']
"Ron was yelling so loudly that Uncle Vernon jumped 
and held the receiver a foot away from his ear, staring 
at it with an expression of mingled fury and alarm. 

",['Ron']
"“WHO ARE YOU?” 

“RON — WEASLEY!”",['RON']
"Ron bellowed back, as though he 
and Uncle Vernon were speaking from opposite ends 
of a football field.",['Ron']
"Ron obviously realized that he’d gotten Harry into 
trouble, because he hadn’t called again.",['Ron']
"Harry suspected that Ron had 

Page | 5 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




warned Hermione not to call, which was a pity, 
because Hermione, the cleverest witch in Harry’s 
year, had Muggle parents, knew perfectly well how to 
use a telephone, and would probably have had 
enough sense not to say that she went to Hogwarts. 

",['Ron']
"A delighted Mr. Weasley told the Daily Prophet, “We 
will be spending the gold on a summer holiday in 
Egypt, where our eldest son, Bill, works as a curse 
breaker for Gringotts Wizarding Bank. ” 

",['Mr. Weasley']
"Plump little Mrs. Weasley; tall, 
balding Mr. Weasley; six sons; and one daughter, all 
(though the black-and-white picture didn’t show it) 
with flaming-red hair.",['Mr. Weasley']
"Right in the middle of the 
picture was Ron, tall and gangling, with his pet rat, 
Scabbers, on his shoulder and his arm around his 
little sister, Ginny. 

","['Ginny', 'Ron']"
"He picked up Ron’s 
letter and unfolded it. 

",['Ron']
"Mum wouldn’t let 
Ginny come in the last one.",['Ginny']
"Harry remembered only too well the occasion when 
Ron’s old wand had snapped.",['Ron']
"Try and come to London, 

Ron 

PS.",['Ron']
"There was another note from Ron 
beneath it. 

",['Ron']
"Bye — 

Ron 



Page | 11 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




Harry put the Pocket Sneakoscope on his bedside 
table, where it stood quite still, balanced on its point, 
reflecting the luminous hands of his clock.",['Ron']
"Dear Harry, 

Ron wrote to me and told me about his phone call to 
your Uncle Vernon.",['Ron']
"Did you see that picture of Ron and his family a 
week ago?",['Ron']
"Ron says he’s going to be in London in the last week of 
the holidays.",['Ron']
Ron says Percy’s Head Boy.,['Ron']
"Ron doesn’t seem too happy about it. 

",['Ron']
"He recognized the untidy scrawl on the 
brown paper at once: this was from Hagrid, the 
Hogwarts gamekeeper.",['Hagrid']
"He knew that Hagrid would never send 
him anything dangerous on purpose, but then, 

Hagrid didn’t have a normal person’s view of what 
was dangerous.",['Hagrid']
"Hagrid had been known to befriend 
giant spiders, buy vicious, three-headed dogs from 
men in pubs, and sneak illegal dragon eggs into his 
cabin. 

",['Hagrid']
"The Monster Book 
shuddered angrily, but could no longer flap and snap, 
so Harry threw it down on the bed and reached for 
Hagrid’s card. 

",['Hagrid']
"All the best, 

Hagrid 

It struck Harry as ominous that Hagrid thought a 
biting book would come in useful, but he put Hagrid’s 
card up next to Ron’s and Hermione’s, grinning more 
broadly than ever.","['Hagrid', 'Ron']"
