source,target,value
Aberforth,Dumbledore,8
Aberforth,Hagrid,2
African,Harry,4
African,Ron,4
African,group,4
Agatha Timms,Mr. Weasley,12
Aidan,Charlie,4
Aidan,Harry,4
Aidan,Harry Potter,8
Aidan,Mr. Weasley,4
Aidan,Quigley,4
Aidan Lynch,Connolly,6
Alastor,Dumbledore,9
Alastor,Hagrid,7
Alastor,Harry Potter,4
Alastor Moody,Dumbledore,27
Alastor Moody,Severus,12
Albus,Dumbledore,12
Albus,Hagrid,12
Albus,Harry,21
Albus,Harry Potter,6
Albus,Ron,11
Albus,Severus Snape,3
Albus,Snape,8
Albus,Voldemort,8
Albus Dumbledore,DUMBLEDORE,4
Albus Dumbledore,Dumbledore,16
Albus Dumbledore,Hall,4
Albus Dumbledore,Harry,36
Albus Dumbledore,Harry Potter,15
Albus Dumbledore,McGonagall,3
Albus Dumbledore,Pansy Parkinson,4
Albus Dumbledore,Ron,8
Albus Dumbledore,Snape,3
Albus Dumbledore,shifty,4
Ali,Mr. Weasley,1
Ali Bashir,Arthur,4
Ali Bashir,Mr. Weasley,4
Ali Bashir,Percy,6
Ali Bashir,Ron,3
Ali Bashir,hall,3
Alicia,Fred,6
Alicia,George,3
Alicia Spinnet,Angelina,8
Alicia Spinnet,ball,4
Amos,Amos Diggory,10
Amos,Arthur,8
Amos,Harry,16
Amos,Harry Potter,9
Amos,Hermione,12
Amos,Mark,13
Amos,Mr. Weasley,36
Amos,Rita Skeeter,6
Amos,Winky,12
Amos,angry,3
Amos,broom,6
Amos,clever,4
Amos,tall,8
Amos Diggory,Arthur,2
Amos Diggory,Cedric,9
Amos Diggory,Cedric Diggory,4
Amos Diggory,Harry,44
Amos Diggory,Hermione,8
Amos Diggory,Mark,11
Amos Diggory,Mr. Weasley,11
Amos Diggory,Ron,12
Angelina,Alicia,4
Angelina,Alicia Spinnet,3
Angelina,Fred,19
Angelina,Harry,3
Angelina,Harry Potter,24
Angelina,Hermione,18
Angelina,Katie Bell,8
Angelina,Ron,3
Angelina,Seamus,3
Angelina,ball,4
Angelina,black,4
Angelina,hope,12
Angelina,tall,4
Angry,Harry,10
Angry,Ron,6
Antonin Dolohov,Harry Potter,9
Apollyon Pringle,Amos Diggory,3
Apollyon Pringle,Bill,6
Arabella,Harry,4
Arabella,Sirius,8
Archie,Harry,7
Archie,Harry Potter,12
Archie,Hermione,9
Archie,Oliver Wood,3
Argus,Harry Potter,4
Argus,McGonagall,3
Arnold,Malfoy,6
Arnold,Rita Skeeter,3
Arnold,able,6
Arnold,aged,3
Arnold Peasegood,Gilbert Wimple,8
Arnold Peasegood,Magic,4
Arthur,Ali Bashir,3
Arthur,Amos,8
Arthur,Basil,3
Arthur,Bill,3
Arthur,Cornelius,6
Arthur,Forest,2
Arthur,Fred,6
Arthur,George,4
Arthur,Ginny,3
Arthur,Harry,19
Arthur,Harry Potter,33
Arthur,Lucius,6
Arthur,Magic,9
Arthur,Mark,3
Arthur,Merlin,6
Arthur,Molly,11
Arthur,Mr. Weasley,54
Arthur,Oblansk,4
Arthur,Pigwidgeon,3
Arthur,Roddy Pontner,3
Arthur,Ron,14
Arthur,black,6
Arthur,curt,4
Arthur,day,7
Arthur,face,3
Arthur,hope,8
Arthur,lord,4
Arthur,rich,9
Arthur,scarlet,4
Arthur,tall,3
Arthur Weasley,Dumbledore,2
Arthur Weasley,Ron,3
Arthur Weasley,able,3
Arthur Weasley,face,6
Augustus Rookwood,Travers,3
Avery,Crabbe,4
Avery,Nott,8
Avery,Rosier,4
Avery,Snape,8
Avery,Voldemort,6
BALL,Harry,4
BALL,Ron,8
Ball,Dobby,3
Ball,Flitwick,3
Ball,Harry,18
Ball,Lavender,3
Ball,Lavender Brown,9
Ball,McGonagall,12
Ball,Rosmerta,4
Ball,Snape,6
Ball,Winky,3
Barry,Harry,16
Barry,Severus,4
Bartemius,Harry,12
Bartemius,Harry Potter,8
Bartemius,Magic,12
Bartemius,Ron,4
Bartemius,Severus Snape,8
Basil,Arthur,10
Basil,Catchpole,3
Basil,Mr. Weasley,4
Basil,Payne,8
Basil,able,4
Basil,dawn,3
Basil,newspaper,3
Bertha,Bertha Jorkins,8
Bertha,Cedric,8
Bertha,Dumbledore,36
Bertha,Harry,8
Bertha,Harry Potter,17
Bertha,Magic,6
Bertha,Percy,18
Bertha,Rita Skeeter,8
Bertha,Severus,8
Bertha,Sirius,8
Bertha,face,6
Bertha Jorkins,Bertha,9
Bertha Jorkins,Cedric,4
Bertha Jorkins,Dumbledore,28
Bertha Jorkins,Harry,23
Bertha Jorkins,Harry Potter,25
Bertha Jorkins,Hermione,3
Bertha Jorkins,Lord,3
Bertha Jorkins,Mr. Weasley,4
Bertha Jorkins,Percy,20
Bertha Jorkins,Rita,4
Bertha Jorkins,Sirius,12
Bertha Jorkins,Voldemort,21
Bertha Jorkins,Winky,9
Bertha Jorkins,face,9
Bertha Jorkins,forest,4
Bertha Jorkins,hope,8
Bertie Bott,Sirius,12
Bertie Bott,scarlet,3
Bill,Amos Diggory,11
Bill,Apollyon Pringle,3
Bill,Cadogan,7
Bill,Charlie,33
Bill,Cornelius,4
Bill,Cornelius Fudge,8
Bill,Dumbledore,11
Bill,Fred,48
Bill,George,15
Bill,Ginny,24
Bill,Gringotts,6
Bill,Hagrid,20
Bill,Harry,100
Bill,Harry Potter,29
Bill,Hedwig,4
Bill,Hermione,13
Bill,Lady,6
Bill,Mark,2
Bill,McGonagall,3
Bill,Minerva,2
Bill,Minerva McGonagall,3
Bill,Mr. Weasley,56
Bill,Percy,55
Bill,Rita Skeeter,7
Bill,Ron,101
Bill,Snape,4
Bill,black,23
Bill,face,8
Bill,fang,3
Bill,miles,2
Bill,stunned,6
Bill,tall,8
Black,Forest,4
Black,Harry Potter,2
Black,McGonagall,3
Black,Ron,6
Bloody Baron,Friar,5
Bloody Baron,Hermione,6
Bloody Baron,Ron,9
Boris,Cedric,12
Boris,Cho,3
Boris,Harry,7
Bozo,Harry,4
Bozo,Rita Skeeter,2
Broom,Harry,8
Broom,Skower,3
Brothers,Hermione,3
Brothers,Nick,4
Brutus,Harry,4
Brutus,magic,8
Buckbeak,Cornelius Fudge,12
Buckbeak,Harry,49
Buckbeak,Hedwig,4
Buckbeak,Hermione,8
Buckbeak,Magic,4
Buckbeak,Ron,11
Buckbeak,Sirius,15
Buckbeak,Voldemort,4
Buckbeak,day,7
CEDRIC DIGGORY,Harry,3
CEDRIC DIGGORY,Malfoy,3
CEDRIC DIGGORY,Snape,4
Cadogan,Harry,12
Catchpole,Harry Potter,4
Catchpole,able,8
Catchpole,black,9
Cedric,Amos,11
Cedric,Amos Diggory,8
Cedric,Arthur,8
Cedric,Bill,8
Cedric,Boris,3
Cedric,Cedric Diggory,16
Cedric,Cho,12
Cedric,Dudley,4
Cedric,Dumbledore,47
Cedric,Fleur,75
Cedric,Fleur Delacour,16
Cedric,Flitwick,15
Cedric,Fred,24
Cedric,George,3
Cedric,Hagrid,31
Cedric,Hall,14
Cedric,Hannah Abbott,12
Cedric,Harry,661
Cedric,Harry Potter,290
Cedric,Hedwig,12
Cedric,Hermione,27
Cedric,Lady,6
Cedric,Malfoy,4
Cedric,McGonagall,3
Cedric,Mr. Weasley,4
Cedric,Parvati,9
Cedric,Rita Skeeter,26
Cedric,Ron,67
Cedric,Sirius,3
Cedric,Snape,16
Cedric,Stunned,9
Cedric,Thomas,8
Cedric,Viktor Krum,25
Cedric,Voldemort,50
Cedric,angry,3
Cedric,ball,3
Cedric,black,30
Cedric,bloody,6
Cedric,broom,10
Cedric,brothers,8
Cedric,chief,3
Cedric,day,16
Cedric,face,142
Cedric,fluffy,6
Cedric,forest,12
Cedric,hall,15
Cedric,handsome,6
Cedric,hope,4
Cedric,miles,6
Cedric,rose,4
Cedric,stunned,12
Cedric,tall,1
Cedric Diggory,Buckbeak,3
Cedric Diggory,Cedric,10
Cedric Diggory,Cho,12
Cedric Diggory,Dumbledore,18
Cedric Diggory,Fleur,4
Cedric Diggory,Fleur Delacour,12
Cedric Diggory,Hall,3
Cedric Diggory,Harry,36
Cedric Diggory,Harry Potter,8
Cedric Diggory,Hedwig,9
Cedric Diggory,Hermione,4
Cedric Diggory,Hope,4
Cedric Diggory,Mr. Weasley,4
Cedric Diggory,Sirius,4
Cedric Diggory,hall,3
Cedric Diggory,handsome,8
Charlie,Bill,221
Charlie,Fred,95
Charlie,George,3
Charlie,Ginny,8
Charlie,Hagrid,37
Charlie,Harry,51
Charlie,Harry Potter,36
Charlie,McGonagall,3
Charlie,Percy,6
Charlie,Ron,13
Charlie,angry,3
Charlie,black,20
Charlie,face,3
Charlie,hope,12
Charlie,stunned,12
Cho,Cedric,75
Cho,Cedric Diggory,4
Cho,Fleur Delacour,8
Cho,Harry,207
Cho,Hermione,3
Cho,Magic,4
Cho,Peeves,4
Cho,Ron,4
Cho,Sirius,8
Cho,Snape,3
Cho,able,4
Cho,face,7
Cho,handsome,4
Cho Chang,Fleur Delacour,6
Cho Chang,Ginny,3
Cho Chang,Harry,3
Cho Chang,Harry Potter,3
Cho Chang,Oliver Wood,3
Cho Chang,Ron,3
Cho Chang,group,6
Clever,Cedric,6
Clever,Harry,3
Colin,Colin Creevey,3
Colin,Dennis,6
Colin,Dennis Creevey,7
Colin,Hagrid,3
Colin,Harry,40
Colin,Harry Potter,3
Colin,Ron,7
Colin,Snape,16
Colin,face,12
Colin,hall,3
