sentence,entities
"Elderly Mr. and Mrs. 
Riddle had been rich, snobbish, and rude, and their 
grown-up son, Tom, had been, if anything, worse.",['Mr.']
"As for informing the 
headmaster, Harry had no idea where Dumbledore 
went during the summer holidays.",['Dumbledore']
"He amused himself 
for a moment, picturing Dumbledore, with his long 
silver beard, full-length wizard’s robes, and pointed 
hat, stretched out on a beach somewhere, rubbing 
suntan lotion onto his long crooked nose.",['Dumbledore']
"Wherever 
Dumbledore was, though, Harry was sure that 
Hedwig would be able to find him; Harry’s owl had 
never yet failed to deliver a letter to anyone, even 
without an address.",['Dumbledore']
"Dear Professor Dumbledore, Sorry to bother you, but 
my scar hurt this morning.",['Dumbledore']
"And so he tried to imagine his other best friend, Ron 
Weasley’s, reaction, and in a moment, Ron’s red hair 
and long-nosed, freckled face seemed to swim before 
Harry, wearing a bemused expression. 

",['Ron']
"Mr. Weasley was a fully qualified wizard who worked 
in the Misuse of Muggle Artifacts Office at the 
Ministry of Magic, but he didn’t have any particular 
expertise in the matter of curses, as far as Harry 
knew.",['Mr. Weasley']
"Mrs. 
Weasley would fuss worse than Hermione, and Fred 
and George, Ron’s sixteen-year-old twin brothers, 
might think Harry was losing his nerve.",['Ron']
"The Weasleys 
were Harry’s favorite family in the world; he was 
hoping that they might invite him to stay any time 
now (Ron had mentioned something about the 
Quidditch World Cup), and he somehow didn’t want 
his visit punctuated with anxious inquiries about his 
scar. 

",['Ron']
"Harry, 

Ron, and Hermione knew otherwise, however; they 
had come face-to-face with Wormtail only the 
previous year, though only Professor Dumbledore had 
believed their story. 

","['Ron', 'Dumbledore']"
"Hagrid, the Hogwarts gamekeeper, had 
obliged with a sack full of his own homemade rock 
cakes.",['Hagrid']
"(Harry hadn’t touched these; he had had too 
much experience of Hagrid ’s cooking.)",['Hagrid']
"And then on 
Harry’s birthday (which the Dursleys had completely 
ignored) he had received four superb birthday cakes, 
one each from Ron, Hermione, Hagrid, and Sirius. 
","['Ron', 'Hagrid']"
"Dear Mr. and Mrs. Dursley, 

We have never been introduced, but I am sure you 
have heard a great deal from Harry about my son Ron. 

","['Ron', 'Mr.']"
"“She’s my friend Ron’s 
mother, she was meeting him off the Hog — off the 
school train at the end of last term.” 

",['Ron']
"Harry bent down, recognized Ron’s handwriting, 
then tore open the envelope.",['Ron']
Maybe he couldn’t read Ron’s writing.,['Ron']
"See you soon — 



Page | 39 



Harry Potter and the Goblet of Fire - J.K. Rowling 




Ron 



“Calm down!”",['Ron']
"Harry seized his eagle-feather quill once more, 
grabbed a fresh piece of parchment, and wrote: 

Ron, it’s all okay, the Muggles say I can come.",['Ron']
"If you want to contact me, I’ll be at my friend Ron 
Weasley’s for the rest of the summer.",['Ron']
"“I’ll be at Ron’s when you get back, all right?”",['Ron']
"He had rarely 
seen Mr. or Mrs. Weasley wearing anything that the 
Dursleys would call “normal.”",['Mr.']
"Their children might 
don Muggle clothing during the holidays, but Mr. and 
Mrs. Weasley usually wore long robes in varying 
states of shabbiness.",['Mr.']
"But Mr. Weasley had borrowed a Ministry 
of Magic car last year; possibly he would do the same 
today? 

",['Mr. Weasley']
"Normally, 
Uncle Vernon would have asked what car Mr. Weasley 
drove; he tended to judge other men by how big and 
expensive their cars were.",['Mr. Weasley']
"But Harry doubted whether 
Uncle Vernon would have taken to Mr. Weasley even 
if he drove a Ferrari. 

",['Mr. Weasley']
"George, no, there’s no room, go back quickly and tell 
Ron — ” 

“Maybe Harry can hear us, Dad — maybe he’ll be able 
to let us out — ” 

There was a loud hammering of fists on the boards 
behind the electric fire. 

",['Ron']
“Mr. Weasley?,['Mr. Weasley']
"“Mr. Weasley, it’s Harry ... the fireplace has been 
blocked up.",['Mr. Weasley']
“Damn!” said Mr. Weasley’s voice.,['Mr. Weasley']
“Really?” said Mr. Weasley’s voice excitedly.,['Mr. Weasley']
"ouch, Ron!” 

",['Ron']
"Ron’s voice now joined the others’. 

",['Ron']
"“Oh no, Ron,” came Fred’s voice, very sarcastically. 
",['Ron']
"Page | 47 



Harry Potter and the Goblet of Fire - J.K. Rowling 




“Boys, boys ...” said Mr. Weasley vaguely.",['Mr. Weasley']
