source,target,value
ANCIENT,BLACK,16
ANCIENT,Hermione,4
ANCIENT,Kreacher,4
ANCIENT,Luna,3
ANCIENT,SIRIUS BLACK,6
Aberforth,Dumbledore,4
Aberforth,Voldemort,8
Adam,Harry,6
Adam,Hermione,3
Adam,Marietta,6
Adam,Mr. Potter,9
Adam,Sirius,3
Adam,face,2
Agnes,Broderick,8
Agnes,Hermione,3
Alastor,Harry,12
Alastor,Molly,3
Alastor,Sirius,12
Alastor,black,3
Alastor Moody,Lupin,9
Alastor Moody,Remus Lupin,8
Alastor Moody,Voldemort,4
Albus,Dumbledore,4
Albus,Hagrid,12
Albus,Harry,4
Albus,Jane,8
Albus,Tiberius,4
Albus,Umbridge,3
Albus Dumbledore,Chief,9
Albus Dumbledore,Cornelius,4
Albus Dumbledore,Dumbledore,8
Albus Dumbledore,Hagrid,12
Albus Dumbledore,Harry,37
Albus Dumbledore,Hermione,3
Albus Dumbledore,Luna,3
Albus Dumbledore,McGonagall,8
Albus Dumbledore,Minerva McGonagall,4
Albus Dumbledore,Petunia,4
Albus Dumbledore,Ron,4
Albus Dumbledore,Tiberius,4
Albus Dumbledore,Umbridge,6
Albus Dumbledore,day,3
Algie,Harry,4
Algie,uncle,6
Alice,Bellatrix Lestrange,4
Alice,Harry,4
Alice,Neville,16
Alice,Sirius,8
Alice,maiden,12
Alice Longbottom,Frank,11
Alice Longbottom,face,4
Alicia,Angelina,8
Alicia,Bletchley,3
Alicia,Crabbe,4
Alicia,Flitwick,3
Alicia,Fred,36
Alicia,George,8
Alicia,George Weasley,24
Alicia,Hagrid,3
Alicia,Harry,40
Alicia,Hermione,6
Alicia,Katie,9
Alicia,Lavender,4
Alicia,Lee,8
Alicia,Luna Lovegood,4
Alicia,Malfoy,32
Alicia,Montague,6
Alicia,Ron,52
Alicia,ball,4
Alicia Spinnet,Alicia,12
Alicia Spinnet,Luna Lovegood,8
Alicia Spinnet,Malfoy,8
Alicia Spinnet,Miles Bletchley,4
Alicia Spinnet,Umbridge,3
Alphard,Sirius,2
Alphard,Uncle,6
Amelia,Harry,1
Amelia,Ignatius,8
Amelia,Jane,4
Amelia,Sirius,12
Amelia Bones,Caradoc,4
Amelia Bones,Edgar Bones,4
Amelia Bones,Harry,20
Amelia Bones,Sturgis Podmore,4
Ancient,Hagrid,6
Ancient,Hermione,3
Ancient,Jack Sloper,3
