sentence,entities
"If he was lucky, there would also be owls carrying 
letters from his best friends, Ron and Hermione, 
though any expectation he had had that their letters 
would bring him news had long since been dashed. 

",['Ron']
"As 
far as Harry could tell from the vague hints in their 
letters, Hermione and Ron were in the same place, 
presumably at Ron’s parents’ house.",['Ron']
And what were Ron and Hermione busy with?,['Ron']
"Sirius, at least, seemed to understand how 
Harry was feeling; admittedly his letters were just as 
empty of proper news as Ron and Hermione’s, but at 



Page | 11 Harry Potter and the Order of the Phoenix - J.K. Rowling 




least they contained words of caution and consolation 
instead of tantalizing hints: 

“ I know this must be frustrating for you...”",['Ron']
"Often the old scar on his forehead 
prickled uncomfortably, but he did not fool himself 
that Ron or Hermione or Sirius would find that very 
interesting anymore...",['Ron']
"How could Dumbledore have forgotten him so easily? 
",['Dumbledore']
"Why had Ron and Hermione got together without 
inviting him along too?",['Ron']
"He was never going to see Ron and Hermione again — 

And their faces burst clearly into his mind as he 
fought for breath — 

“EXPECTO PATRONUM” 

An enormous silver stag erupted from the tip of 
Harry’s wand; its antlers caught the dementor in the 
place where the heart should have been; it was 
thrown backward, weightless as darkness, and as the 
stag charged, the dementor swooped away, batlike 
and defeated. 

",['Ron']
"It’s just lucky I put 
Mr. Tibbies on the case!",['Mr.']
"“Yes, yes, yes, but luckily I’d stationed Mr. Tibbies 
under a car just in case, and Mr. Tibbies came and 
warned me, but by the time I got to your house you’d 
gone — and now — oh, what’s Dumbledore going to 
say?","['Dumbledore', 'Mr.']"
"“You know Dumbledore?” said Harry, staring at her. 

",['Dumbledore']
"“Of course I know Dumbledore, who doesn’t know 
Dumbledore?",['Dumbledore']
"This was exactly what Dumbledore was afraid of — 
what’s that at the end of the street?",['Dumbledore']
"Oh, it’s just Mr. 
Prentice... Don’t put your wand away, boy, don’t",['Mr.']
“Dumbledore ’s orders.,['Dumbledore']
"But oh my 
word,” she said tragically, wringing her hands once 
more, “when Dumbledore hears about this — how 
could Mundungus have left, he was supposed to be 
on duty until midnight — where is he?",['Dumbledore']
"How am I 
going to tell Dumbledore what’s happened, I can’t 
Apparate — ” 



",['Dumbledore']
"Dumbledore will need 
to act as quickly as possible, the Ministry have their 
own ways of detecting underage magic, they’ll know 
already, you mark my words — ” 

“But I was getting rid of dementors, I had to use 
magic — they’re going to be more worried what 
dementors were doing floating around Wisteria Walk, 
surely?” 

",['Dumbledore']
"Someone’s gotta tell Dumbledore!” 

",['Dumbledore']
"“I hope Dumbledore murders him!” said Mrs. Figg 
furiously.",['Dumbledore']
"and 
Dumbledore said we were to keep you from doing 
magic at all costs...",['Dumbledore']
"“So,” Harry panted, “Dumbledore ’s ... been having ... 
me followed?” 

",['Dumbledore']
"Harry shouted after her; he had a million 
questions to ask anyone who was in contact with 
Dumbledore; but within seconds Mrs. Figg was 
swallowed by the darkness.",['Dumbledore']
"Dear Mr. Potter, 

We have received intelligence that you performed the 
Patronus Charm at twenty-three minutes past nine this 

Page | 34 Harry Potter and the Order of the Phoenix -J.K. Rowling 




evening in a Muggle-inhabited area and in the 
presence of a Muggle. 

",['Mr. Potter']
"Harry — 

Dumbledore’s just arrived at the Ministry, and he’s 
trying to sort it all out.",['Dumbledore']
"Arthur Weasley 

Dumbledore was trying to sort it all out...",['Dumbledore']
"How much power did Dumbledore have to 
override the Ministry of Magic?",['Dumbledore']
"He was much more 
tempted by the former course, but he knew that Mr. 
Weasley had his best interests at heart ... and, after 
all, Dumbledore had sorted out much worse than this 
before... 

","['Dumbledore', 'Mr.']"
"“The second 
one was from my friend Ron’s dad, he works at the 
Ministry.” 

",['Ron']
"Dear Mr. Potter, 

Further to our letter of approximately twenty-two 
minutes ago, the Ministry of Magic has revised its 
decision to destroy your wand forthwith.",['Mr. Potter']
"He 
was desperate to be alone, to think, perhaps to send a 
letter to Ron, Hermione, or Sirius. 

",['Ron']
"He was so convinced that this 
letter had to be from Dumbledore, explaining 
everything — the dementors, Mrs. Figg, what the 
Ministry was up to, how he, Dumbledore, intended to 
sort everything out — that for the first time in his life 
he was disappointed to see Sirius’s handwriting. 
",['Dumbledore']
"Both Mr. Weasley and 
Sirius were acting as though he’d misbehaved and 
they were saving their tellings-off until they could 
ascertain how much damage had been done. 

",['Mr. Weasley']
"Had the 
Ministry of Magic lost control of the dementors, had 
they deserted Azkaban and joined Voldemort, as 
Dumbledore had predicted they would? 

",['Dumbledore']
"The Dursleys were asking for 
details about the magical world and Mrs. Figg knew 
Albus Dumbledore; dementors were soaring around 
Little Whinging and he might never go back to 
Hogwarts.",['Dumbledore']
"The letters from the 
Ministry, Mr. Weasley, and Sirius were crushed in his 
left hand.",['Mr. Weasley']
"He addressed the first to Sirius, the 
second to Ron, and the third to Hermione.",['Ron']
"“Take these straight to Sirius, 
Ron, and Hermione and don’t come back here without 
good long replies.",['Ron']
"But he’d 
make it up to her when she came back with Sirius’s, 
Ron’s, and Hermione’s answers. 

",['Ron']
“P-Professor Lupin?”,['Lupin']
Remus Lupin stood nearest to him.,['Lupin']
"Though still quite 
young, Lupin looked tired and rather ill; he had more 
gray hair than when Harry had said good-bye to him, 
and his robes were more patched and shabbier than 
ever.",['Lupin']
"“Are you quite sure it’s him, Lupin?” he growled.",['Lupin']
"Unless anyone 
brought any Veritaserum?” 

“Harry, what form does your Patronus take?” said 
Lupin. 

",['Lupin']
"“That’s him, Mad-Eye,” said Lupin. 

",['Lupin']
"Lupin held out his hand and shook Harry’s. 

",['Lupin']
"He 
glanced at the people surrounding Lupin; they were 
still gazing avidly at him.",['Lupin']
"“Soon?” 

“Almost at once,” said Lupin, “we’re just waiting for 
the all-clear.” 

",['Lupin']
"“Not the Burrow, no,” said Lupin, motioning Harry 
toward the kitchen; the little knot of wizards followed, 
all still eyeing Harry curiously.",['Lupin']
"“This is Alastor Moody, Harry,” Lupin continued, 
pointing toward Moody. 

",['Lupin']
"“It’s Tonks.” 

“ — Nymphadora Tonks, who prefers to be known by 
her surname only,” finished Lupin. 



",['Lupin']
