source,target,value
Abraxas,the,12
Albus,Chief,3
Albus,Cornelius Fudge,3
Albus,Dolores,3
Albus,Dumbledore,26
Albus,Harry,9
Albus,Mark,12
Albus,Rosmerta,6
Albus,Slughorn,12
Albus,Umbridge,8
Albus,the,24
Albus Dumbledore,Cole,12
Albus Dumbledore,Harry,3
Albus Dumbledore,Ron,4
Albus Dumbledore,Snape,8
Albus Dumbledore,day,8
Albus Dumbledore,face,4
Albus Dumbledore,the,55
Alecto,Dumbledore,8
Alecto,Ginny,4
Alecto,Neville,4
Alecto,angry,4
Alecto,the,4
Ambrosius Flume,day,8
Ambrosius Flume,the,4
Amelia Bones,aged,8
Amelia Bones,the,36
Amy,Dennis Bishop,3
Amy,Harry Potter,3
Amy,the,4
Amy Benson,Dennis Bishop,6
Amy Benson,Dumbledore,3
Amycus,Alecto,4
Amycus,Dumbledore,18
Amycus,Ginny,6
Amycus,Lupin,12
Amycus,Malfoy,3
Amycus,day,4
Amycus,the,6
Ancient,Harry,12
Ancient,McGonagall,4
Ancient,face,8
Ancient,the,9
Apothecary,George,4
Apothecary,Pigwidgeon,12
Arabella Figg,Hermione,4
Arabella Figg,the,4
Arabella Figg,trolley,4
Aragog,Forest,12
Aragog,Hagrid,67
Aragog,Harry,51
Aragog,Harry Potter,20
Aragog,Hermione,3
Aragog,Ron,28
Aragog,Slughorn,16
Aragog,Snape,4
Aragog,The,4
Aragog,face,20
Aragog,the,15
Argus,Draco,3
Argus,the,20
Argus Filch,Harry,4
Argus Filch,Slughorn,8
Argus Filch,The,12
Arkie Philpott,Bill,4
Arkie Philpott,Harry,8
Armando,Voldemort,12
Armando Dippet,Harry,12
Arnold,Ginny,36
Arnold,the,12
Arthur,Ginny,8
Arthur,Harry,26
Arthur,Horace Slughorn,4
Arthur,Lupin,12
Arthur,Magic,4
Arthur,McGonagall,4
Arthur,Molly,32
Arthur,Mr. Weasley,6
Arthur,Percy,8
Arthur,Percy Weasley,4
Arthur,Ron,8
Arthur,Severus,4
Arthur,Sirius,4
Arthur,Slughorn,12
Arthur,The,12
Arthur,Voldemort,8
Arthur,face,7
Arthur,the,66
Arthur Weasley,Harry,4
Arthur Weasley,Lucius,12
Arthur Weasley,Malfoy,4
Arthur Weasley,the,4
Augusta,Neville,16
Augusta,amber,4
Augusta,the,4
Avery,Lestrange,3
Avery,Narcissa,3
Avery,Slughorn,3
Avery,the,24
Barnabas,Gwenog Jones,4
Barnabas,able,4
Barnabas,day,4
Barnabas the Barmy,Ancient,12
Bella,Lord,3
Bella,Narcissa,19
Bella,The,1
Bella,face,4
Bella,the,60
Bellatrix,Bellatrix Lestrange,8
Bellatrix,Draco,7
Bellatrix,Dumbledore,56
Bellatrix,Harry Potter,12
Bellatrix,Hermione,4
Bellatrix,Lestrange,12
Bellatrix,Lord,4
Bellatrix,Mark,4
Bellatrix,Narcissa,64
Bellatrix,Quirrell,8
Bellatrix,Severus,4
Bellatrix,Sirius,4
Bellatrix,Snape,119
Bellatrix,The,3
Bellatrix,black,12
Bellatrix,fallen,4
Bellatrix,fiery,8
Bellatrix,the,131
Bellatrix Lestrange,Bellatrix,6
Bellatrix Lestrange,Sirius,14
Bellatrix Lestrange,The,6
Bellatrix Lestrange,apothecary,6
Bellatrix Lestrange,the,15
Bertie,Rufus Scrimgeour,8
Bertie,the,4
Bertie Higgs,Rufus,4
Bertie Higgs,Slughorn,8
Bertram,Snape,3
Bertram,the,3
Bill,Arkie Philpott,4
Bill,Arthur,8
Bill,Celestina,4
Bill,Dumbledore,19
Bill,Fleur,23
Bill,Florean Fortescue,8
Bill,Gabrielle,3
Bill,George,11
Bill,Ginny,22
Bill,Gringotts,9
Bill,Harry,193
Bill,Harry Potter,4
Bill,Hermione,8
Bill,Lupin,36
Bill,McGonagall,4
Bill,Mr. Weasley,32
Bill,Muriel,4
Bill,Neville,4
Bill,Nymphadora,4
Bill,Remus Lupin,8
Bill,Ron,48
Bill,The,3
Bill,day,8
Bill,face,10
Bill,group,11
Bill,hope,8
Bill,the,28
Billy,Martha,12
Billy,day,12
Billy Stubbs,Harry Potter,12
Black,Dumbledore,3
Black,Harry,8
Black,James Potter,8
Black,Katie,8
Black,Regulus,3
Black,Sirius,4
Black,Sirius Black,12
Black,The,8
Black,Uncle,12
Black,hope,3
Black,the,47
Blaise,Ginny,8
Blaise,Harry,4
Blaise,Hermione,3
Blaise,Zabini,6
Blaise,the,15
Blaise Zabini,Cormac McLaggen,4
Blaise Zabini,Marcus Belby,3
Blaise Zabini,Zabini,4
Bloody Baron,Harry,20
Bloody Baron,Nick,4
Bob Ogden,Dumbledore,6
Bob Ogden,the,17
Borgin,Dumbledore,8
Borgin,Galatea,8
Borgin,Harry,50
Borgin,Harry Potter,40
Borgin,Hepzibah,12
Borgin,Hermione,39
Borgin,Katie,12
Borgin,Leanne,3
Borgin,Lucius Malfoy,4
Borgin,Malfoy,39
Borgin,McGonagall,15
Borgin,Montague,3
Borgin,Ron,12
Borgin,The,8
Borgin,Voldemort,3
Borgin,the,131
Brothers,Sanguini,12
Buckbeak,Dumbledore,12
Buckbeak,Hagrid,28
Buckbeak,Harry,16
Buckbeak,Hermione,4
Buckbeak,Lady,8
Buckbeak,Ron,4
Buckbeak,Sirius,4
Buckbeak,Snape,8
Buckbeak,the,16
Budleigh,the,12
COLE,Dumbledore,4
COLE,Harry,3
COLE,The,3
Cadwallader,Luna,24
Cadwallader,the,24
Caractacus Burke,Dumbledore,15
Caractacus Burke,Harry,4
Caractacus Burke,Voldemort,4
Caractacus Burke,magic,3
Cecilia,Harry Potter,4
Cecilia,the,8
Cedric Diggory,Lord,3
Cedric Diggory,Voldemort,8
Celestina,Fleur,6
Celestina,George,7
Celestina,Malfoy,4
Celestina,Mr. Weasley,3
Celestina,Remus Lupin,4
Celestina,Ron,12
Celestina,the,36
Celestina Warbeck,Mr. Weasley,3
Celestina Warbeck,the,6
Charlie,Bill,4
Charlie,Harry,16
Charlie,Ron,8
Charlie,gorilla,12
Chief,Dumbledore,12
Cho,Ginny,4
Cho,Harry,24
Cho,Hermione,3
Cho,Ron,4
Cho Chang,Harry,12
Cho Chang,face,8
Cho Chang,the,4
Ciceron Harkiss,Ambrosius Flume,6
Ciceron Harkiss,Gwenog Jones,3
Cole,Dumbledore,17
Cole,Harry,6
Cole,Tom,9
Cole,the,175
Cormac,Cormac McLaggen,8
Cormac,Harry,16
Cormac,Harry Potter,4
Cormac,Hermione,3
Cormac,Parvati,8
Cormac,Ron,13
Cormac,Slughorn,12
Cormac,Snape,4
Cormac,fallen,4
Cormac,the,4
Cormac McLaggen,Cormac,8
Cormac McLaggen,Harry,15
Cormac McLaggen,Harry Potter,4
Cormac McLaggen,Hermione,6
Cormac McLaggen,Parvati,4
Cormac McLaggen,Ron,3
Cormac McLaggen,Zabini,8
Cormac McLaggen,lady,4
Cormac McLaggen,the,16
Cornelius,Harry,8
Cornelius,Rufus,4
Cornelius,Umbridge,4
Cornelius,able,3
Cornelius Fudge,Chief,8
Cornelius Fudge,Hermione,4
Cornelius Fudge,Luna,4
Cornelius Fudge,Magic,4
Cornelius Fudge,The,3
Cornelius Fudge,portly,4
Cornelius Fudge,the,16
Crabbe,Arnold,4
Crabbe,Dumbledore,4
Crabbe,Flitwick,12
Crabbe,Goyle,116
Crabbe,Harry,8
Crabbe,Hermione,47
Crabbe,Malfoy,15
Crabbe,Myrtle,8
Crabbe,Parkinson,12
Crabbe,Percy Weasley,4
Crabbe,black,8
Crabbe,the,72
Crookshanks,Fleur,8
Crookshanks,Harry,12
Crookshanks,Hermione,3
Crookshanks,Mr. Weasley,3
Crookshanks,Ron,8
Crookshanks,Slughorn,8
Crookshanks,The,4
Crookshanks,butterbeer,8
Crookshanks,day,3
Crookshanks,the,10
DRACO,Harry Potter,12
Damocles,Slughorn,3
Damocles,the,6
Day,George,6
Day,Ginny,3
Dean,Ginny,240
Dean,Harry,68
Dean,Harry Potter,4
Dean,Ron,8
Dean,Seamus,132
Dean,angry,4
Dean,day,4
Dean,the,24
Dean Thomas,Dean,6
Dean Thomas,Ginny,3
Dean Thomas,Hermione,15
Dean Thomas,Ron,8
Dean Thomas,The,12
Dean Thomas,the,8
Demelza,Demelza Robins,4
Demelza,Ginny,12
Demelza,Harry,48
Demelza,Harry Potter,40
Demelza,Hermione,4
Demelza,Katie,8
Demelza,Ron,4
Demelza,Vaisey,4
Demelza,Zacharias Smith,8
Demelza,broom,4
Demelza Robins,Ginny,20
Demelza Robins,Ron,12
Demelza Robins,Slughorn,4
