sentence,entities
"“Kindly respond immediately to Mr. 

Fudge.” 

",['Mr.']
"“Well, Dumbledore says he is,” said Fudge, as he had 
fastened his pin-striped cloak under his chin, “but 
we’ve never found him.",['Dumbledore']
"I don’t really 
understand it, and Dumbledore won’t explain 
properly — but anyway, he’s certainly got a body and 
is walking and talking and killing, so I suppose, for 
the purposes of our discussion, yes, he’s alive.” 

",['Dumbledore']
"Catching 
Fudge’s eye, the portrait said, “He’ll be here in a 
moment, he’s just finishing a letter to Dumbledore.” 

",['Dumbledore']
"“I’ve been writing to Dumbledore twice a 
day for the past fortnight, but he won’t budge.",['Dumbledore']
"“Snape,” she said curtly as she passed him. 

",['Snape']
Snape gestured Narcissa to the sofa.,['Snape']
"Dark as her 
sister was fair, with heavily lidded eyes and a strong 
jaw, she did not take her gaze from Snape as she 
moved to stand behind Narcissa. 

",['Snape']
"Snape asked, settling 
himself in the armchair opposite the two sisters. 

",['Snape']
"“As you have clearly realized, Wormtail, we have 
guests,” said Snape lazily. 

",['Snape']
"How charming — ” 

“Wormtail will get us drinks, if you’d like them,” said 
Snape.",['Snape']
"Wormtail winced as though Snape had thrown 
something at him. 

",['Snape']
"he squeaked, avoiding 
Snape ’s eye. 

",['Snape']
"“I had no idea, Wormtail, that you were craving more 
dangerous assignments,” said Snape silkily.",['Snape']
"“Of course you can,” said Snape, sneering.",['Snape']
"Snape poured out three glasses of bloodred wine and 
handed two of them to the sisters.",['Snape']
"Narcissa 
murmured a word of thanks, whilst Bellatrix said 
nothing, but continued to glower at Snape.",['Snape']
"Snape refilled their glasses. 

",['Snape']
"I think you are the only one who can help me 



Snape held up a hand to stop her, then pointed his 
wand again at the concealed staircase door.",['Snape']
"“My apologies,” said Snape.",['Snape']
"“Particularly in present company!” 

“ ‘Present company’?” repeated Snape sardonically. 
",['Snape']
"“And what am I to understand by that, Bellatrix?” 

“That I don’t trust you, Snape, as you very well 
know!” 

",['Snape']
"Snape set 
his glass down upon the table and sat back again, his 
hands upon the arms of his chair, smiling into 
Bellatrix’s glowering face. 

",['Snape']
"Well, continue, Bellatrix,” said Snape.",['Snape']
"What have you been doing all 
these years that you’ve lived in Dumbledore’s pocket? 
",['Dumbledore']
"And why, Snape, is 
Harry Potter still alive, when you have had him at 
your mercy for five years?” 

",['Snape']
"Snape smiled. 

",['Snape']
Snape did not press the point.,['Snape']
"I was 
where he had ordered me to be, at Hogwarts School of 
Witchcraft and Wizardry, because he wished me to 
spy upon Albus Dumbledore.",['Dumbledore']
"She nodded almost imperceptibly and then opened 
her mouth, but Snape forestalled her. 

",['Snape']
"“Yes, indeed, most admirable,” said Snape in a bored 
voice.",['Snape']
"“While I endured the dementors, you 
remained at Hogwarts, comfortably playing 
Dumbledore’s pet!” 

",['Dumbledore']
"“Not quite,” said Snape calmly.",['Snape']
"“Why did you 
stay there all that time, Snape?",['Snape']
"Still spying on 
Dumbledore for a master you believed dead?” 

“Hardly,” said Snape, “although the Dark Lord is 
pleased that I never deserted my post: I had sixteen 
years of information on Dumbledore to give him when 
he returned, a rather more useful welcome-back 
present than endless reminiscences of how 
unpleasant Azkaban is. ...” 

","['Snape', 'Dumbledore']"
"“But you stayed — ” 

“Yes, Bellatrix, I stayed,” said Snape, betraying a hint 
of impatience for the first time.",['Snape']
"Dumbledore’s protection kept me out of jail; it was 
Page | 31",['Dumbledore']
"He thought, like 
you, that I had turned from faithful Death Eater to 
Dumbledore’s stooge.",['Dumbledore']
"He 
did not dare reveal himself to a former ally if that ally 
might turn him over to Dumbledore or the Ministry.",['Dumbledore']
"As it was, I saw 
only greedy and unworthy Quirrell attempting to steal 
the stone and, I admit, I did all I could to thwart him.” 

",['Quirrell']
"I returned on 
Dumbledore’s orders.” 

",['Dumbledore']
"“On Dumbledore’s — ?” she began, in tones of 
outrage. 

",['Dumbledore']
"“Think!” said Snape, impatient again.",['Snape']
"By allowing 
Dumbledore to think that I was only returning to the 
Dark Lord’s side because I was ordered to, I have 
been able to pass information on Dumbledore and the 
Order of the Phoenix ever since!",['Dumbledore']
"“The Dark Lord’s initial displeasure at my lateness 
vanished entirely, I assure you, when I explained that 
I remained faithful, although Dumbledore thought I 
was his man.",['Dumbledore']
"“My information has been conveyed directly to the 
Dark Lord,” said Snape.",['Snape']
"“He calls me his most loyal, his most 
faithful — ” 

“Does he?” said Snape, his voice delicately inflected to 
suggest his disbelief.",['Snape']
"“There is no point apportioning blame,” said Snape 
smoothly.",['Snape']
"“No, you 
were once again absent while the rest of us ran 
dangers, were you not, Snape?” 

",['Snape']
"“My orders were to remain behind,” said Snape. 
",['Snape']
"“Perhaps you disagree with the Dark Lord, perhaps 
you think that Dumbledore would not have noticed if 
I had joined forces with the Death Eaters to fight the 
Order of the Phoenix?",['Dumbledore']
"“You are avoiding my last question, Snape.",['Snape']
"Why?” 

“Have you discussed this matter with the Dark Lord?” 
asked Snape. 

",['Snape']
"I am asking you, Snape!” 



",['Snape']
"It was only 
Dumbledore’s protection that was keeping me out of 
Azkaban!",['Dumbledore']
"I 



Page | 35 Harry Potter and the Half Blood Prince - J.K. Rowling 




would have been a fool to risk it with Dumbledore 
close at hand.” 

",['Dumbledore']
"“And through all this we are supposed to believe 
Dumbledore has never suspected you?” asked 
Bellatrix.",['Dumbledore']
