source,target,value
ALBUS,the,10
ALBUS DUMBLEDORE,Albus,3
ALBUS DUMBLEDORE,Elphias Doge,8
ALBUS DUMBLEDORE,Harry Potter,5
ALBUS DUMBLEDORE,Rita Skeeter,8
ALBUS DUMBLEDORE,face,4
ALBUS DUMBLEDORE,the,16
ARIANA,DUMBLEDORE,8
ARIANA,Rita Skeeter,3
ARTHUR WEASLEY,the,8
Aberforth,Albus,15
Aberforth,Ariana,39
Aberforth,Ariana Dumbledore,8
Aberforth,Bathilda,3
Aberforth,Bellatrix,3
Aberforth,Dumbledore,3
Aberforth,Enid Smeek,4
Aberforth,Fred,6
Aberforth,Ginny,3
Aberforth,Godric,3
Aberforth,Harry,31
Aberforth,Harry Potter,6
Aberforth,Hermione,54
Aberforth,Lee Jordan,3
Aberforth,Narcissa Malfoy,8
Aberforth,Remus,3
Aberforth,Ron,4
Aberforth,The,9
Aberforth,Voldemort,14
Aberforth,able,9
Aberforth,clever,6
Aberforth,count,3
Aberforth,day,3
Aberforth,face,24
Aberforth,group,6
Aberforth,hope,9
Aberforth,magic,9
Aberforth,tall,6
Aberforth,the,356
Aberforth Dumbledore,the,12
Adalbert Waffling,Bathilda,12
Alastor Moody,iris,4
Alastor Moody,the,8
Albert,Dirk Cresswell,4
Albert,Harry,6
Albert,Harry Potter,4
Albert,Hermione,24
Albert,Mafalda,4
Albert,hall,4
Albert,the,8
Albus,Aberforth,192
Albus,Ariana,26
Albus,Bathilda,6
Albus,Brian,6
Albus,Dumbledore,12
Albus,Elphias,4
Albus,Gellert,3
Albus,Ginny,22
Albus,Godric,3
Albus,Harry,3
Albus,Harry Potter,6
Albus,Hermione,34
Albus,James,11
Albus,Lily,9
Albus,Muriel,6
Albus,Rita Skeeter,3
Albus,Ron,3
Albus,Rose,16
Albus,The,18
Albus,Voldemort,8
Albus,brothers,3
Albus,day,8
Albus,group,3
Albus,hope,3
Albus,mark,6
Albus,rose,3
Albus,scarlet,9
Albus,the,261
Albus,trolley,8
Albus Dumbledore,Aberforth,4
Albus Dumbledore,Ariana,4
Albus Dumbledore,Godric,3
Albus Dumbledore,Harry,9
Albus Dumbledore,Hermione,3
Albus Dumbledore,Rita,4
Albus Dumbledore,Ron,8
Albus Dumbledore,THE,4
Albus Dumbledore,day,20
Albus Dumbledore,face,8
Albus Dumbledore,the,224
Alderton,Arkie,4
Alderton,the,8
Alecto,Amycus,15
Alecto,Harry Potter,8
Alecto,Luna,11
Alecto,Mark,4
Alecto,McGonagall,12
Alecto,Stunned,3
Alecto,the,43
Alecto Carrow,Amycus,8
Alecto Carrow,The,12
Alecto Carrow,Voldemort,12
Alecto Carrow,the,4
Alfred Cattermole,The,3
Alfred Cattermole,the,6
Alicia Spinnet,the,12
Amycus,Alecto,19
Amycus,Bellatrix,3
Amycus,Carrow,4
Amycus,Flitwick,7
Amycus,Goyle,4
Amycus,Harry,4
Amycus,Harry Potter,8
Amycus,Lord,3
Amycus,Luna,3
Amycus,Mark,8
Amycus,McGonagall,6
Amycus,Minerva,4
Amycus,Ron,4
Amycus,Snape,4
Amycus,The,4
Amycus,ancient,8
Amycus,face,12
Amycus,rose,6
Amycus,the,15
Ancient,the,12
Andromeda,day,12
Angelina Johnson,Oliver Wood,12
Angry,Harry,4
Angry,Harry Potter,8
Anthony Goldstein,Harry,4
Anthony Goldstein,Michael Corner,8
Antioch,Harry Potter,3
Antioch,brothers,6
Apolline,lady,4
Apolline,the,8
Aragog,Ron,8
Aragog,The,12
Aragog,the,16
Arcturus,Regulus,12
Arcturus Black,Percy Weasley,12
Arcus,Livius,3
Arcus,The,4
Arcus,the,3
Ariana,Albus,26
Ariana,Bathilda,40
Ariana,Bathilda Bagshot,4
Ariana,Chief,4
