start_sent,sentences,entities
0,"I 



* 

THE DARK LORD ASCENDING 

The two men appeared out of nowhere, a few yards 
apart in the narrow, moonlit lane. For a second they 
stood quite still, wands directed at each other’s 
chests; then, recognizing each other, they stowed 
their wands beneath their cloaks and started walking 
briskly in the same direction. 

 “News?” asked the taller of the two. 

",['LORD']
1,"For a second they 
stood quite still, wands directed at each other’s 
chests; then, recognizing each other, they stowed 
their wands beneath their cloaks and started walking 
briskly in the same direction. 

 “News?” asked the taller of the two. 

 “The best,” replied Severus Snape. 

",['Severus Snape']
2,"“News?” asked the taller of the two. 

 “The best,” replied Severus Snape. 

 The lane was bordered on the left by wild, low- 
growing brambles, on the right by a high, neatly 
manicured hedge.",['Severus Snape']
3,"“The best,” replied Severus Snape. 

 The lane was bordered on the left by wild, low- 
growing brambles, on the right by a high, neatly 
manicured hedge. The men’s long cloaks flapped 
around their ankles as they marched. 

",['Severus Snape']
6,"“Thought I might be late,” said Yaxley, his blunt 
features sliding in and out of sight as the branches of 
overhanging trees broke the moonlight. “It was a little 
trickier than I expected. But I hope he will be 
satisfied.",['hope']
7,"“It was a little 
trickier than I expected. But I hope he will be 
satisfied. You sound confident that your reception will 
be good?” 

",['hope']
8,"But I hope he will be 
satisfied. You sound confident that your reception will 
be good?” 

 Page | 2 Harry Potter and the Deathly Hallows - J.K. Rowling 




Snape nodded, but did not elaborate.","['Harry Potter', 'hope', 'Snape']"
9,"You sound confident that your reception will 
be good?” 

 Page | 2 Harry Potter and the Deathly Hallows - J.K. Rowling 




Snape nodded, but did not elaborate. They turned 
right, into a wide driveway that led off the lane.","['Harry Potter', 'Snape']"
10,"Page | 2 Harry Potter and the Deathly Hallows - J.K. Rowling 




Snape nodded, but did not elaborate. They turned 
right, into a wide driveway that led off the lane. The 
high hedge curved with them, running off into the 
distance beyond the pair of impressive wrought-iron 
gates barring the men’s way.","['Harry Potter', 'Snape']"
15,"The yew hedges muffled the sound of the men’s 
footsteps. There was a rustle somewhere to their 
right: Yaxley drew his wand again, pointing it over his 
companion’s head, but the source of the noise proved 
to be nothing more than a pure-white peacock, 
strutting majestically along the top of the hedge. 

",['peacock']
16,"There was a rustle somewhere to their 
right: Yaxley drew his wand again, pointing it over his 
companion’s head, but the source of the noise proved 
to be nothing more than a pure-white peacock, 
strutting majestically along the top of the hedge. 

 “He always did himself well, Lucius.","['Lucius', 'peacock']"
