sentence,entities
"“The best,” replied Severus Snape. 

",['Snape']
"Page | 2 Harry Potter and the Deathly Hallows - J.K. Rowling 




Snape nodded, but did not elaborate.",['Snape']
"Gravel crackled beneath their feet as Snape 
and Yaxley sped toward the front door, which swung 
inward at their approach, though nobody had visibly 
opened it. 

",['Snape']
"The eyes of the pale-faced portraits on 
the walls followed Snape and Yaxley as they strode 
past.",['Snape']
"The two men halted at a heavy wooden door 
leading into the next room, hesitated for the space of 
a heartbeat, then Snape turned the bronze handle. 

",['Snape']
"Snape and Yaxley lingered for a 
moment on the threshold.",['Snape']
"Snape,” said a high, clear voice from the head 
of the table.",['Snape']
"Most of the 
eyes around the table followed Snape, and it was to 
him that Voldemort spoke first. 

",['Snape']
"Some stiffened, others fidgeted, all gazing at Snape 
and Voldemort. 

",['Snape']
"His 
red eyes fastened upon Snape ’s black ones with such 
intensity that some of the watchers looked away, 
apparently fearful that they themselves would be 
scorched by the ferocity of the gaze.",['Snape']
"Snape, however, 
looked calmly back into Voldemort’s face and, after a 
moment or two, Voldemort’s lipless mouth curved into 
something like a smile. 

",['Snape']
"And this information comes — ” 

“ — from the source we discussed,” said Snape. 

",['Snape']
"Yaxley had leaned forward to look down the long table 
at Voldemort and Snape.",['Snape']
"Snape was smiling. 

",['Snape']
"Page | 5 



Harry Potter and the Deathly Hallows - J.K. Rowling 




“If he has been Confunded, naturally he is certain,” 
said Snape.",['Snape']
"“My Lord,” Yaxley went on, “Dawlish believes an 
entire party of Aurors will be used to transfer the boy 



Voldemort held up a large white hand, and Yaxley 
subsided at once, watching resentfully as Voldemort 
turned back to Snape. 

",['Snape']
"“At the home of one of the Order,” said Snape.",['Snape']
"Page | 7 



Harry Potter and the Deathly Hallows - J.K. Rowling 




“He will not do either,” said Snape.",['Snape']
Lucius Malfoy looked up.,['Malfoy']
Malfoy glanced sideways at his wife.,['Malfoy']
"At 
her touch, Malfoy put his hand into his robes, 
withdrew a wand, and passed it along to Voldemort, 
who held it up in front of his red eyes, examining it 
closely. 

",['Malfoy']
"Page | 9 Harry Potter and the Deathly Hallows - J.K. Rowling 




“Elm, my Lord,” whispered Malfoy. 



",['Malfoy']
"Lucius Malfoy made an 
involuntary movement; for a fraction of a second, it 
seemed he expected to receive Voldemort’s wand in 
exchange for his own.",['Malfoy']
"Voldemort stroked 

Page | 10 Harry Potter and the Deathly Hallows - J.K. Rowling 




the creature absently with long thin fingers, still 
looking at Lucius Malfoy. 

",['Malfoy']
"Is my return, my rise to power, not the very thing they 
professed to desire for so many years?” 

“Of course, my Lord,” said Lucius Malfoy.",['Malfoy']
"To Malfoy’s left, his wife made an odd, stiff nod, her 
eyes averted from Voldemort and the snake.",['Malfoy']
"She has just married the 
werewolf, Remus Lupin.",['Lupin']
"The hilarity mounted; Draco Malfoy looked in terror at 
his father, who was staring down into his own lap, 
then caught his mother’s eye.",['Malfoy']
"Voldemort raised Lucius Malfoy’s wand, pointed it 
directly at the slowly revolving figure suspended over 
the table, and gave it a tiny flick.",['Malfoy']
Snape raised his eyes to the upside-down face.,['Snape']
"“Ah, yes,” said Snape as the prisoner turned slowly 
away again. 



",['Snape']
"Charity 
Burbage revolved to face Snape again. 

",['Snape']
"“Severus ... please ... please ...” 

“Silence,” said Voldemort, with another twitch of 
Malfoy’s wand, and Charity fell silent as if gagged. 

",['Malfoy']
"For the 
third time, Charity Burbage revolved to face Snape. 
",['Snape']
"Snape 

Page | 14 Harry Potter and the Deathly Hallows -J.K. Rowling 




looked back at her, quite impassive, as she turned 
slowly away from him again. 

",['Snape']
"His 
Muggle clothing, Invisibility Cloak, potion-making kit, 
certain books, the photograph album Hagrid had once 
given him, a stack of letters, and his wand had been 
repacked into an old rucksack.",['Hagrid']
"ALBUS DUMBLEDORE REMEMBERED 

by Elphias Doge 

I met Albus Dumbledore at the age of eleven, on our 
first day at Hogwarts.",['Dumbledore']
"Beyond that, Dumbledore refused to speak of the sad 
business, though many attempted to make him do so. 
",['Dumbledore']
