character
Hannah Abbott
Edith Abernathy
Ernestina Abutor
Zoe Accrington
Aged witch
Agnes
Aisha
Sakura Akagi
Alannis
Filemina Alchin
Cyprien Alesi
Badeea Ali
Alice
Alma
Alejandra Alonso
Altheda
Pamela Alton
Alanza Alves
Alys
Amanda
Amata
Chandra Amble
Rosemary Ames
Rosana Amorim
Danielle Amorinus
Natalie Limunus
Debbie Amy
Jada Angela
Tamsin Applebee
Angelina Appleby
Chavelle Arbelo Cartaya
Becky Arncliffe
Artemis (goddess)
Artemis (owl)
Asha
Maud Ashborn
Astoria (19th-century)
Jane Austen
Babayaga
Bathsheda Babbling
Gwendoline Babcocke
Gwendoline Babcocke's mother
Patrick Bagby's mother
Millicent Bagnold
Bathilda Bagshot
Kquewanda Bailey
Tabitha Bainbridge
Sadie Baldock
Ball Guest
Oona Ballington
Yvonne Bampton
Bandon Banshee
Chastity Barebone
Credence Barebone's aunt
Credence Barebone's mother
Mary Lou Barebone
Modesty Barebone
Modesty Barebone's biological mother
Musidora Barkwith
Allison Barnes
Celia Barnett
Elsie Barrett
Baruffio's wife
Unidentified witch in Bath
Concepta Battista
Hetty Bayliss
Bean
Violetta Beauvais
Katie Bell
Katie Bell's mother
Fiona Belmont
Amy Benson
Sophie Berger
Céleste Bergne
Bernadette
Bernadette Beauchene
Beryl
Kinjal Bhatia
Kajol Bhatt
Betty Bickering
Billingsley's niece
Gilbert Bingley's wife
Trevor Birch's mother
Sally Birchgrove
Vicky Bishopper
Alexia Walkin Black
Annis Black
Araminta Meliflua Black
Belvina Black
Callidora Black
Cassiopeia Black
Cedrella Black
Charis Black
Dorea Black
Druella Black
Elladora Black
Hesper Black
Iola Black
Lucretia Black
Lycoris Black
Misapinoa Black
Phoebe Black
Walburga Black
Holly Blackbird
Genevieve Bladt
Susan Blancheflower
Bletchley (musician)
Kursten Blijk
Lara Blishen
Beatrix Bloxam
Beatrix Bloxam's aunt
Melinda Bobbin
Jordanna Bodiment
Bogle-banshee
Sylvian Boigny
Anne Boleyn
Amelia Bones's mother
Edgar Bones's wife
Amelia Bones
Seraphina Bones
Susan Bones
Bonhabille
Boot brothers' mother
Webster Boot's wife
Gladys Boothby
Borboleta
Boy who failed the Avifors Spell's cousin
Boyle
Betty Braithwaite
Eleanor Branstone
Bridget
Brindlemore
Britannia
Justine Britnell
Bunty Broadacre
Mandy Brocklehurst
Nerissa Brody
Sheila Brooks
Lavender Brown
Lavender Brown's mother
Flora Buchanan
Angus Buchanan's mother
Verucca Buckthorn-Snyde
Zygmunt Budge's great-grandmother
Zygmunt Budge's mother
Millicent Bulstrode
Violetta Bulstrode
Rosalind Bungs
Charity Burbage
Betty Burgess
Belvina Burke's daughter
Elizabeth Burke
Trisha Buttermere
Eunice Cabanart
Cadogan's ex-wives
Cadogan's mother
Josefina Calderon
Camelia
Abigail R. Cankus
Diego Caplan's grandmother
Cas Carneirus
Carrow (1920s)
Alecto Carrow
Flora Carrow
Hestia Carrow
Diane Carter
Celine Castillon
Greta Catchlove
Mary Cattermole's mother
Ellie Cattermole
Maisie Cattermole
Mary Cattermole
Poppy Caxton
Cecilia
Cecily
Linda Chaddesley
Cho Chang
Polly Chapman
Charles Weasley's colleagues
Liza Cherks
Nina Chibbar
Chinese Fireball at the Magical Creatures Reserve
Glenda Chittock
Anna Chiwawa
Cho Chang's friends
Cho Chang's mother
Indira Choudry
Agatha Chubb
Circe
Elfrida Clagg
Georgia Clark-Day
Penelope Clearwater
Phoebe Clem
Cliodna
Cobb & Webb's shopkeeper
Hannah Cockleford
Rachael Codnor
Cole
Angelica Cole
Magenta Comstock
Lydia Cooden
Hortense Cooper
Ben Copper's mother
Martine Copplestone
Yvette Coquelot
Corey Hayden's grandmother
Corey Hayden's parents
Loretta Cornhill
Daisy Corran
Jane Court
Irma Crabbe
Ellen Cracknell
Elfrida Cragg
Linderina Crane
Antonia Creaseworthy
Dirk Cresswell's wife
Corrine Cribb
Venusia Crickerly
Delfina Crimp
Clutterbuck Crispe
Doris Crockford
Glinda Crook
Caspar Crouch's daughters
Bartemius Crouch Junior's mother
Crowd outside bakery in Surrey
Magali Crowe
Lisa Cullen
Gerda Curd
Myra Curio
Constance Dagworth
Haley Dakota
Deliverance Dane
Danielle
Dark witch in the Forbidden Forest
Daryle
Mabel Dashalot
Roger Davies's girlfriend
Tracey Davis
Helen Dawlish
Jennifer Dawn
Day maid at Leaky Cauldron
Female Death Eater at the Graveyard
Blossom Degrasse
Julia Dehoff (Muggle)
Julia Dehoff (witch)
Delacour sisters' cousins
Apolline Delacour
Apolline Delacour's mother
Fleur Delacour
Gabrielle Delacour
Delphini
Elodie Dembélé
Alison Denbright
Amorette Deneuve
Irene Denholm
Alison Denshaw
Dilys Derwent
Nanette Desford
Shruti Dev
Cedric Diggory's friends
Cedric Diggory's mother
Aurora Dillon
Thora Dinnet
DJ Martha
Emma Dobbs
Daisy Dodderidge
Damara Dodderidge
Nicola Dodworth
Mary Dorkins
Dot
Benedita Dourado
Ellie Dowson
Doxy Queen
Mary Doyle
Clodagh Dromgoole
Margot Droope
Irma Dugard
Matilda Dukelow
Ariana Dumbledore
Kendra Dumbledore
Aurélie Dumont
Fay Dunbar
Elora Dunn
Priscilla Dupont
Durmstrang girl
Vernon Dursley's secretary
Marjorie Dursley
Dudley Dursley's wife
Petunia Dursley
Dursley siblings' mother
Dursleys' female neighbour
Mable Dwillingwort
Earl of Paunchley's forced servants
Felicity Eastchurch
Edgecombe
Marietta Edgecombe
Edith
Edith Nesbit
Unidentified female Eeylops Owl Emporium employee
Andre Egwu's grandmother
Andre Egwu's sister
Jules Egwu
Jules Egwu's parents
Elena Eldritch
Eliana
Eliana's parents
Elicia
George Eliot
Eliza
Elizabeth I
Elizabeth II
Elveira Elkins
Harriet Ellesmere
Elsie
Emily (Gryffindor)
Emily (Hufflepuff)
Emily (mural)
Haruka Endoh
Annabel Entwhistle
Hilary Erskine
Mimi Erland
Esposito
Ethel
Portrait of a female etiquette teacher
Margaret Ettington
Lucy Evans
Evans sisters' mother
Tracie Everson
Rosalyn Ewhurst
Unidentified plump little witch examiner
Dahlia F.
G. F.
Lordana F.
Natalie Fairbourne
Fairy at the Magical Creatures Reserve
Fallen Fifty
Perpetua Fancourt
Bella Farley
Gemma Farley
Madge Farley
Sara Farnham
Fat Lady
Franziska Faust
Fawcett
Lucretia Fawley
Melody Fawley
Penelope Fawley
Penelope Fawley's mother
Morgan le Fay
Sendelina de la Felino
Loretta Fieldwake (criminal)
Loretta Fieldwake (Ministry employee)
Unidentified fifth-year girl
Miriam Fig
Arabella Figg
Arabella Figg's parents
Justin Finch-Fletchley's mother
Seamus Finnigan's mother
Henrietta Fischer
Fisher's daughter
Amelia Fittleworth
Rhonda Fladbury
Perenelle Flamel
Mopsy Fleabert
Laurentia Fletwock
Josephina Flint
Ursula Flint
Miranda Flockton
Florence
Fenella Flowerday
Virginia Flowers
Ambrosius Flume's wife
Louise Fontwell
Kay Formby
Fortinbras
Floella Foss
Fridwulfa
Viola Frierson
Vicky Frobisher
Amy Frome
Lydia Fry
Cornelius Fudge's wife
Fugitive Dark witch
Fugitive werewolf
Dymphna Furmage
Edmund Gaddlegate's mother
Josette Gage
Cecilia Gallerani
Trudy Galston
Ottaline Gambol
Hesper Gamp
Morwena Ganderwort
Carmen Garcia
Mirabel Garlick
Gormlaith Gaunt
Gellert Grindelwald's Qilin
George Weasley's dance partner
German-speaking woman
Ghost carollers
Eleanor Sarah Gibbs
Gibson
Cordelia Gifford
Gilbert Bingley's secretary
Gimlet-eyed Hogwarts Headmistress
Ginger (musician)
Ginger Witch
Girl Sorted in 1858
Girl who played Amata
Girl who played Asha
Girl who tested Fainting Fancies
Girl whose quill was taken by Cedric
Girl with Flowers
Olivia Gleaves
Katrina von Glockenspieler
Gloomy nuns
Maria Glossop
Glossy
Goblin family near Nottingham
Goblin jazz singer
Goldstein sisters' mother
Porpentina Goldstein
Queenie Goldstein
Arsenia Gonzales
Rosie Goodwin (in-universe)
Gordon's parents
Leonora Gore
Gunhilda de Gorsemoor
Goshawk sisters
Diadema Goshawk
Miranda Goshawk
Miranda Goshawk's mother
Romilda Goshawk
Tangwystl Goshawk
Gregory Goyle's mother
Hermione Granger's sister
Hermione Granger
Hermione Granger's mother
Rose Granger-Weasley
Graphorn at the Magical Creatures Reserve
Olivia Green
Mathilda Greenford
Aquila Greengrass
Cereus Greengrass
Daphne Greengrass
Lady Grieve
Glynnis Griffiths
Wilda Griffiths
Mathilda Grimblehawk
Stoyanka Grozda
Wilhelmina Grubbly-Plank
Unidentified Gryffindor girl (IX)
