sentence,entities,character_entities
"“Fancy seeing you here, Professor McGonagall.”",['McGonagall'],['McGonagall']
"

“You’d be stiff if you’d been sitting on a brick wall all 
day,” said Professor McGonagall. 

",['McGonagall'],['McGonagall']
"

Professor McGonagall sniffed angrily.",['McGonagall'],['McGonagall']
"

“You can’t blame them,” said Dumbledore gently. 
",['Dumbledore'],['Dumbledore']
"

“I know that,” said Professor McGonagall irritably. 

",['McGonagall'],['McGonagall']
"I suppose he really has gone, 
Dumbledore?” 

",['Dumbledore'],['Dumbledore']
"“It certainly seems so,” said Dumbledore.",['Dumbledore'],['Dumbledore']
"

“No, thank you,” said Professor McGonagall coldly, as 
though she didn’t think this was the moment for 
lemon drops.",['McGonagall'],['McGonagall']
"Professor McGonagall flinched, but 
Dumbledore, who was unsticking two lemon drops, 
seemed not to notice.","['McGonagall', 'Dumbledore', 'two']","['McGonagall', 'Dumbledore']"
"

“I know you haven’t,” said Professor McGonagall, 
sounding half exasperated, half admiring.","['McGonagall', 'half', 'half']",['McGonagall']
"

Professor McGonagall shot a sharp look at 
Dumbledore and said, “The owls are nothing next to 
the rumors that are flying around.","['McGonagall', 'Dumbledore']","['McGonagall', 'Dumbledore']"
"About what finally stopped him?” 

It seemed that Professor McGonagall had reached the 
point she was most anxious to discuss, the real 
reason she had been waiting on a cold, hard wall all 
day, for neither as a cat nor as a woman had she 
fixed Dumbledore with such a piercing stare as she 
did now.","['McGonagall', 'Dumbledore']","['McGonagall', 'Dumbledore']"
"It was plain that whatever “everyone” was 
saying, she was not going to believe it until 
Dumbledore told her it was true.",['Dumbledore'],['Dumbledore']
"Professor McGonagall 
gasped.",['McGonagall'],['McGonagall']
"Page | 13 Harry Potter and the Philosophers Stone - J.K. Rowling 




Professor McGonagall’s voice trembled as she went 
on.","['13', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling', 'McGonagall']",['McGonagall']
“It’s — it’s true?” faltered Professor McGonagall.,['McGonagall'],['McGonagall']
"“We can only guess,” said Dumbledore.",['Dumbledore'],['Dumbledore']
"

Professor McGonagall pulled out a lace handkerchief 
and dabbed at her eyes beneath her spectacles. 
",['McGonagall'],['McGonagall']
"Dumbledore gave a great sniff as he took a golden 
watch from his pocket and examined it.",['Dumbledore'],['Dumbledore']
"It 
must have made sense to Dumbledore, though, 
because he put it back in his pocket and said, 
“Hagrid’s late.","['Dumbledore', 'Hagrid']","['Dumbledore', 'Hagrid']"
"

“Yes,” said Professor McGonagall.",['McGonagall'],['McGonagall']
"

“You don’t mean — you can’t mean the people who 
live here?” cried Professor McGonagall, jumping to her 

Page | 14 Harry Potter and the Philosophers Stone -J.K. Rowling 




feet and pointing at number four.","['McGonagall', '14', 'Harry Potter', 'the Philosophers Stone -J.K. Rowling', 'four']",['McGonagall']
"

“It’s the best place for him,” said Dumbledore firmly. 
",['Dumbledore'],['Dumbledore']
"

“A letter?” repeated Professor McGonagall faintly, 
sitting back down on the wall.",['McGonagall'],['McGonagall']
"

“Exactly,” said Dumbledore, looking very seriously 
over the top of his half-moon glasses.","['Dumbledore', 'half-moon']",['Dumbledore']
"Can’t you see how much better off he’ll be, 
growing up away from all that until he’s ready to take 
it?” 



Professor McGonagall opened her mouth, changed her 
mind, swallowed, and then said, “Yes — yes, you’re 
right, of course.",['McGonagall'],['McGonagall']
"But how is the boy getting here, 
Dumbledore?”",['Dumbledore'],['Dumbledore']
"

“You think it — wise — to trust Hagrid with 
something as important as this?” 



",['Hagrid'],['Hagrid']
"“I would trust Hagrid with my life,” said Dumbledore. 

","['Hagrid', 'Dumbledore']","['Hagrid', 'Dumbledore']"
"“I’m not saying his heart isn’t in the right place,” said 
Professor McGonagall grudgingly, “but you can’t 
pretend he’s not careless.",['McGonagall'],['McGonagall']
"“Hagrid,” said Dumbledore, sounding relieved.","['Hagrid', 'Dumbledore']","['Hagrid', 'Dumbledore']"
"And where did you get that motorcycle?” 

“Borrowed it, Professor Dumbledore, sir,” said the 
giant, climbing carefully off the motorcycle as he 
spoke.",['Dumbledore'],['Dumbledore']
"



Page | 16 Harry Potter and the Philosophers Stone - J.K. Rowling 




Dumbledore and Professor McGonagall bent forward 
over the bundle of blankets.","['16', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling', 'Dumbledore', 'McGonagall']","['Dumbledore', 'McGonagall']"
"

“Is that where — ?” whispered Professor McGonagall. 

",['McGonagall'],['McGonagall']
"“Yes,” said Dumbledore.",['Dumbledore'],['Dumbledore']
"

“Couldn’t you do something about it, Dumbledore?” 

“Even if I could, I wouldn’t.",['Dumbledore'],['Dumbledore']
"Well — give him 
here, Hagrid — we’d better get this over with.”",['Hagrid'],['Hagrid']
"

“Could I — could I say good-bye to him, sir?” asked 
Hagrid.",['Hagrid'],['Hagrid']
"Then, suddenly, Hagrid let out a howl 
like a wounded dog. 

",['Hagrid'],['Hagrid']
"“Shhh!” hissed Professor McGonagall, “you’ll wake the 
Muggles!”",['McGonagall'],['McGonagall']
