character
Zygmunt Budge
Zubeida Khan
Zoo director
Zonko
Zoe Accrington
Zeph Salvage
Zenobia Noke
Zenith Xeep
Zelda Hum
Zara Valli
Zamira Gulch
Zakir Akram
Zacharias Smith
Zacharias Mumps
Zaccaria Innocenti
Zabini
Yvonne Bampton
Yvette Coquelot
Yuvraj Suri
Yutaka Amano
Yusuf Kama
Yurika Haneda
Yuri Blishenov
Yuri Blishen
Yoshihiro Suzuki
Yoshi Wakahisa
Yolanda Reedham
Yatin Bhagat
Yardley Platt
Yann Fredericks
Xenophilius Lovegood
Xavier Rastrick
Xander Lofthouse
Wladyslaw Wolfke
Winston Churchill
Winston
Winogrand
Winky
Winkus Oddpick
Winifred Whittle
Winifred Warrington
Winifred Haywood
Willy Widdershins
Willy Wagstaff
Williamson
Willi Wenzel
Wilkie Twycross
Wilhemina Twigge
Wilhelmina Tuft
Wilhelm Wigworthy
Wilhelm Fischer
Wilfred the Wistful
Wilfred Levi Kidd
Wilfred Kidd Senior
Wilfred Elphick
Wilbert Slinkhard
Wiggins
Wigby
Westenberg
Wendy Wunderwind
Wendy Slinkhard
Wendelin the Weird
Wee Willykins
Webster Boot
Wayne Portchester
Wayne Hopkins
Wayne Bostock
Warty Harris
Walter Parkin
Walter Crane
Walter Aragon
Wally Wimbles
Wallace Rosenberg
Wallace Lassiter
Walden Macnair
Walburga Black
Wakanda
Wainscott
Voldemort
Vladimir Plot
Vlad the Impaler
Vlad Drakul
Virginia Flowers
Violetta Hobday
Violetta Bulstrode
Violetta Beauvais
Violeta Stitch
Violet Tillyman
Viola Richmond
Viola Landers
Viola Frierson
Vindictus Viridian
Vinda Rosier
Vincent Davis
Vincent Crabbe
Villanelle
Viktor Krum
Vikram Thakur
Vicência Santos
Victoria
Victor Rookwood
Victor Ketsueki
Victor Gridley
Victoire Weasley
Vicky Frobisher
Vicky Bishopper
Verucca Buckthorn-Snyde
Veronica Vexmoor
Veronica Smethley
Veronica Heap
Vernon Dursley
Verity
Venusia Crickerly
Vasily Dimitrov
Vasco Santini
Vargot
Valmai Morgan
Valerie Valion
Valerie Valion
Valeria Myriadd
Valentina Vázquez
Valentina Vázquez
Vaisey
Ursula Penkridge
Ursula Flint
Urquhart Rackharrow
Uric the Oddball
Urgruff the Unwary
Urg the Unclean
Unctuous Osbert
Uncle Edward
Ulick Gamp
Ugga
Ug the Unreliable
Uchi Akimbo
Tyra Teegarden
Tycho Dodonus
Tulip Karasu
Tubbs
Trupti Kadam
Trudy Galston
Troy Duvall
Trolley Witch
Trocar
Tristram Bassenthwaite
Tristan
Trisha Buttermere
Trinity Lynn
Trevor
Trev Mallory
Travers
Tracie Everson
Tracey Nettlebed
Tracey Davis
Toxita Spattergate
Torvus
Torquil Travers
Torquil McTavish
Tony Silva
Tomoko Kajiwara
Tomkins
Tom Wingrove
Tom Stevens
Tom Riddle
Voldemort
Tom Monk
Tofty
Todd Cribb
