source,target,value
Harold,Harry,3
James,Lily,3
Albus,James,3
Albus,Harry,6
Harry,James,7
Dudley,Harry,605
Dudley,Vernon,20
Harry,Vernon,58
Harry,Yvonne,8
Dudley,Piers,23
Harry,Piers,10
Dennis,Dudley,5
Dennis,Malcolm,6
Gordon,Malcolm,6
Dudley,Gordon,6
Dudley,Smeltings,12
Harry,Smeltings,15
Petunia,Vernon,11
Harry,Lily,4
Harry,Phyllida,4
Harry,Tom,6
Doris,Harry,6
Harry,Ollivander,89
Harry,Hedwig,71
Smeltings,Uncle,5
Dudley,Hedwig,5
Harry,Percy,62
Fred,Harry,68
Fred,George,57
Harry,Neville,354
Lee,Neville,2
Harry,Lee,7
George,Harry,44
Bill,Charlie,18
George,Percy,9
Charlie,George,3
Charlie,Percy,6
Circe,Harry,5
Circe,Merlin,6
Cliodna,Merlin,5
Cliodna,Harry,5
Harry,Hermione,632
Crabbe,Harry,8
Crabbe,Goyle,9
Goyle,Harry,37
Hermione,Neville,79
Harry,Susan,4
Hannah,Susan,6
Hannah,Terry,5
Harry,Lavender,6
Dudley,Justin,5
Harry,Justin,4
Harry,Seamus,57
Nicholas,Seamus,2
Neville,Seamus,25
Peeves,Percy,11
Neville,Percy,5
Neville,Peeves,4
Harry,Peeves,24
Fang,Harry,8
Charlie,Harry,56
Dean,Harry,25
Dean,Neville,4
Harry,Parvati,2
Harry,Patil,1
Charlie,Fred,5
Charlie,Gregory,2
Fred,Gregory,4
Dean,Seamus,12
Dean,Hermione,5
George,Oliver,5
Fred,Oliver,6
Angelina,Harry,9
Angelina,Fred,5
Fred,Percy,10
Bill,Harry,5
Harry,Nicolas,8
Harry,Perenelle,2
Hermione,Perenelle,4
Goyle,Neville,20
Harry,Severus,19
Fluffy,Harry,86
Fluffy,Hermione,27
Charlie,Hermione,3
Charlie,Fang,5
Draco,Harry,12
Draco,Neville,6
Fang,Neville,16
Harry,Ronan,17
Hermione,Ronan,12
Bane,Ronan,47
Bane,Hermione,2
Bane,Harry,13
Firenze,Harry,68
Bane,Firenze,48
Firenze,Ronan,5
Fluffy,Neville,9
Firenze,Fluffy,4
Fluffy,Hedwig,6
Nicolas,Perenelle,6
