source,target,value
Dudley,Harry,148
Harry,Hermione,1659
Harry,Hedwig,176
Harry,Lily,20
Errol,Harry,16
Errol,Hedwig,12
Bill,Harry,10
Bill,Fred,5
Fred,George,191
George,Harry,128
Hedwig,Hermione,14
Harry,Percy,153
Black,Harry,115
Harry,Petunia,40
Harry,Ripper,39
Dudley,Petunia,14
Harry,Vernon,36
Fubster,Vernon,5
Fubster,Ripper,4
Petunia,Vernon,6
Fubster,Petunia,5
Dudley,Vernon,4
Ripper,Vernon,9
Harry,Neville,252
Harry,Tom,94
Hedwig,Neville,17
Neville,Tom,6
Hedwig,Tom,4
Dursley,Hedwig,4
Crookshanks,Harry,209
Crookshanks,Hermione,56
George,Percy,26
Fred,Percy,34
Fred,Harry,168
Fred,Hermione,13
Arthur,Harry,15
Arthur,Weasley,28
Black,Molly,2
Harry,Molly,6
Hedwig,Percy,4
Hedwig,Hermes,6
Hermes,Percy,6
Crookshanks,Percy,3
Hermione,Percy,27
Arthur,Molly,4
Black,Hermione,17
Errol,Hermione,3
George,Hermione,9
Goyle,Harry,100
Crookshanks,Neville,6
Hermione,Neville,47
Harry,Poppy,9
Albus,Harry,11
Cadogan,Hermione,3
Cadogan,Harry,42
Grim,Harry,67
Grim,Hermione,26
Harry,Lavender,26
Lavender,Neville,6
Bilius,Harry,5
Goyle,Hermione,12
Lavender,Parvati,35
Harry,Parvati,25
Buckbeak,Harry,371
Buckbeak,Goyle,6
Goyle,Pansy,8
Hermione,Pansy,5
Draco,Harry,21
Harry,Pansy,3
Harry,Seamus,24
Goyle,Neville,6
Neville,Trevor,5
Neville,Parvati,1
Parvati,Seamus,10
Dean,Seamus,4
Dean,Lavender,3
Hermione,Lavender,26
Draco,Hermione,3
Harry,Oliver,21
George,Oliver,10
Fred,Oliver,21
Angelina,Oliver,6
Angelina,Harry,27
Binky,Parvati,5
Binky,Hermione,9
Lavender,Seamus,5
Hermione,Parvati,19
Binky,Lavender,5
Colin,Harry,21
Harry,Severus,44
Percy,Severus,5
Cadogan,Percy,9
Alicia,Angelina,18
Alicia,Katie,12
Angelina,Katie,13
Fred,Katie,3
Alicia,Oliver,6
Fred,Grim,5
Alicia,Fred,11
Alicia,Harry,18
Harry,Rosmerta,3
James,Lily,48
Black,James,3
Harry,James,59
Black,Minerva,1
Black,Rosmerta,4
Cornelius,Harry,4
Buckbeak,Hermione,102
Buckbeak,Fang,5
Hermione,Seamus,11
Crookshanks,Seamus,4
Minerva,Severus,2
Cadogan,Neville,8
Fred,Goyle,5
Harry,Penny,5
Penelope,Penny,6
Harry,Penelope,10
Harry,Katie,25
Cho,Harry,75
Cho,Katie,5
Penelope,Percy,4
British,George,1
British,Harry,5
Dean,Harry,2
Black,Cadogan,2
Chris,Harry,2
Buckbeak,Crookshanks,3
George,Katie,15
Harry,Lee,21
Alicia,Lee,5
Angelina,George,1
Buckbeak,Percy,5
Harry,Sirius,197
Hermione,Sirius,31
Harry,Peter,67
Crookshanks,Peter,17
Remus,Sirius,11
Peter,Sirius,52
Harry,Remus,26
Black,Remus,12
Hermione,Peter,12
Peter,Remus,19
James,Sirius,3
James,Peter,14
Hermione,James,4
Severus,Sirius,5
Crookshanks,Sirius,11
Black,Crookshanks,5
Lily,Peter,6
James,Remus,17
Black,Peter,11
Buckbeak,Sirius,35
Buckbeak,Penelope,3
Penelope,Sirius,4
