,Unnamed: 0,source,target,value
272,653,George,Yaxley,6
8,1,Severus,Yaxley,5
59,0,Lucius,Yaxley,8
86,599,Kingsley,Yaxley,6
42,274,Mafalda,Yaxley,1
115,258,Hermione,Yaxley,38
34,645,Nagini,Yaxley,4
186,257,Harry,Yaxley,153
71,277,Kreacher,Yaxley,10
6,641,Sirius,Yaxley,4
9,359,Selwyn,Xenophilius,9
534,351,Arcus,Xenophilius,4
315,343,Fleur,Xenophilius,4
108,341,Hermione,Xenophilius,120
46,160,Luna,Xenophilius,30
339,347,Egbert,Xenophilius,5
3,362,Sirius,Xenophilius,3
460,340,Bill,Xenophilius,6
1,469,Travers,Xenophilius,11
539,355,Antioch,Xenophilius,3
61,354,Loxias,Xenophilius,2
192,146,Harry,Xenophilius,260
111,193,Hermione,Viktor,3
199,194,Harry,Viktor,10
2,684,Teddy,Victoire,4
11,389,Scabior,Vernon,5
194,32,Harry,Vernon,23
80,38,Kingsley,Vernon,4
129,470,Hermione,Travers,48
430,480,Bogrod,Travers,12
483,471,Bellatrix,Travers,6
24,597,Parvati,Travers,6
16,89,Remus,Travers,5
238,468,Griphook,Travers,12
164,467,Harry,Travers,88
363,475,Draco,Travers,5
143,465,Hermione,Tom,16
163,466,Harry,Tom,5
241,464,Griphook,Tom,7
127,196,Hermione,Thorfinn,8
409,534,Cho,Terry,6
39,533,Michael,Terry,6
174,580,Harry,Teddy,10
17,581,Remus,Teddy,4
307,559,Fleur,Teddy,6
68,686,Lily,Teddy,5
91,685,James,Teddy,2
384,290,Dean,Ted,15
457,452,Bill,Ted,2
185,78,Harry,Ted,52
235,292,Griphook,Ted,45
255,287,Gornuk,Ted,3
110,300,Hermione,Ted,10
366,453,Dora,Ted,6
376,291,Dirk,Ted,64
37,204,Mundungus,Sirius,6
492,231,Bella,Sirius,5
63,640,Lily,Sirius,6
73,224,Kreacher,Sirius,38
438,200,Black,Sirius,3
218,12,Harry,Sirius,184
92,614,James,Sirius,15
117,199,Hermione,Sirius,13
30,460,Neville,Sirius,5
19,219,Regulus,Sirius,6
188,235,Harry,Severus,62
561,605,Albus,Severus,3
95,615,James,Severus,20
328,629,Fawkes,Severus,5
64,621,Lily,Severus,6
481,626,Bellatrix,Severus,4
362,8,Draco,Severus,2
33,631,Nagini,Severus,3
20,608,Petunia,Severus,1
160,77,Harry,Selwyn,8
106,505,Hermione,Seamus,5
225,523,Harry,Seamus,51
29,506,Neville,Seamus,16
586,507,Aberforth,Seamus,5
396,527,Dean,Seamus,5
52,528,Luna,Seamus,14
13,681,Rosie,Scorpius,5
352,680,Draco,Scorpius,5
345,391,Dudley,Scabior,5
109,383,Hermione,Scabior,5
212,380,Harry,Scabior,63
509,381,Barny,Scabior,4
240,392,Griphook,Scabior,6
217,137,Harry,Rufus,3
96,683,James,Rosie,4
141,682,Hermione,Rosie,6
570,677,Albus,Rose,14
156,688,Harry,Rose,6
139,678,Hermione,Rose,5
512,649,Bane,Ronan,6
41,650,Magorian,Ronan,6
267,147,Ginevra,Ronald,6
134,138,Hermione,Ronald,9
264,150,Goblin,Ronald,4
227,139,Harry,Ronald,17
305,623,Fleur,Roger,6
475,95,Bellatrix,Rodolphus,5
81,96,Kingsley,Rodolphus,1
35,216,Muriel,Rita,2
179,25,Harry,Rita,13
321,71,Fleur,Remus,5
146,90,Hermione,Remus,9
290,70,Fred,Remus,6
592,582,Aberforth,Remus,8
157,124,Harry,Remus,19
113,218,Hermione,Regulus,6
226,217,Harry,Regulus,48
441,227,Black,Regulus,7
74,226,Kreacher,Regulus,64
210,309,Harry,Phineas,6
128,310,Hermione,Phineas,4
98,208,James,Petunia,5
67,607,Lily,Petunia,49
347,30,Dudley,Petunia,15
230,207,Harry,Petunia,24
105,279,Hermione,Perkins,2
446,463,Bill,Perkins,6
311,462,Fleur,Perkins,4
175,278,Harry,Perkins,5
520,656,Arthur,Percy,6
107,590,Hermione,Percy,28
289,560,Fred,Percy,41
556,671,Albus,Percy,2
275,561,George,Percy,11
57,657,Lucius,Percy,6
463,120,Bill,Percy,6
178,268,Harry,Percy,41
319,119,Fleur,Percy,18
506,192,Barry,Percival,5
531,241,Ariana,Percival,11
201,191,Harry,Percival,8
555,15,Albus,Percival,16
54,539,Luna,Peeves,5
176,540,Harry,Peeves,4
161,525,Harry,Patil,4
162,598,Harry,Parvati,4
383,596,Dean,Parvati,12
215,569,Harry,Pansy,15
40,532,Michael,Padma,6
303,415,Fleur,Ollivander,18
467,449,Bill,Ollivander,16
386,416,Dean,Ollivander,15
55,407,Luna,Ollivander,18
116,322,Hermione,Ollivander,2
472,403,Bellatrix,Ollivander,6
370,414,Dobby,Ollivander,8
155,251,Harry,Ollivander,104
189,81,Harry,Nymphadora,15
415,132,Charlie,Norberta,4
167,576,Harry,Nick,28
436,307,Black,Neville,2
144,459,Hermione,Neville,54
90,687,James,Neville,15
159,246,Harry,Neville,252
406,635,Colin,Neville,11
419,524,Carrow,Neville,8
48,247,Luna,Neville,44
233,667,Hall,Neville,4
32,636,Nagini,Neville,6
517,655,Arthur,Neville,6
393,530,Dean,Neville,4
274,654,George,Neville,5
579,508,Aberforth,Neville,7
251,634,Goyle,Neville,2
474,4,Bellatrix,Narcissa,23
327,644,Fenrir,Narcissa,5
206,394,Harry,Narcissa,21
60,6,Lucius,Narcissa,12
354,3,Draco,Narcissa,37
360,9,Draco,Nagini,8
207,10,Harry,Nagini,94
103,321,Hermione,Nagini,12
478,492,Bellatrix,Nagini,5
56,594,Lucius,Nagini,2
302,153,Fleur,Muriel,5
499,185,Bathilda,Muriel,19
334,173,Elphias,Muriel,6
87,184,Kendra,Muriel,8
198,151,Harry,Muriel,71
583,189,Aberforth,Muriel,5
562,174,Albus,Muriel,8
343,203,Dudley,Muriel,4
278,154,George,Muriel,12
508,170,Barry,Muriel,3
525,178,Ariana,Muriel,17
125,215,Hermione,Muriel,16
294,152,Fred,Muriel,5
310,92,Fleur,Mundungus,12
76,232,Kreacher,Mundungus,16
78,59,Kingsley,Mundungus,9
522,68,Arthur,Mundungus,6
182,58,Harry,Mundungus,69
138,111,Hermione,Mundungus,24
462,99,Bill,Mundungus,4
195,620,Harry,Mulciber,6
514,619,Avery,Mulciber,18
166,82,Harry,Molly,21
140,108,Hermione,Molly,4
489,662,Bellatrix,Molly,6
170,548,Harry,Minerva,19
49,553,Luna,Minerva,8
422,549,Carrow,Minerva,5
100,556,Horace,Minerva,10
112,517,Hermione,Michael,3
158,245,Harry,Merlin,5
133,114,Hermione,Merlin,8
546,244,Amycus,Merlin,3
313,622,Fleur,Mark,4
552,551,Alecto,Mark,6
171,541,Harry,Mark,8
131,476,Hermione,Marius,3
220,477,Harry,Marius,5
209,651,Harry,Magorian,6
577,261,Albert,Mafalda,5
119,254,Hermione,Mafalda,32
168,255,Harry,Mafalda,42
367,419,Dobby,Luna,16
444,158,Bill,Luna,11
410,535,Cho,Luna,12
395,404,Dean,Luna,82
